# year, Ptot_c_result_anom
1976.0409836065573,-6.4879766
1976.122950819672,-4.3347673
1976.204918032787,-1.8240924
1976.2868852459017,0.1966443
1976.3715846994535,6.3142123
1976.4535519125684,20.976643
1976.5382513661202,15.802803
1976.622950819672,7.414713
1976.704918032787,-6.4187775
1976.7896174863388,-12.504971
1976.8715846994535,-9.673871
1976.9562841530055,1.1031799
1977.041095890411,6.3641806
1977.1205479452055,6.0514135
1977.2027397260274,3.252571
1977.2849315068493,2.1866794
1977.3698630136987,0.9380264
1977.4520547945206,-1.5985827
1977.5369863013698,-1.9135523
1977.6219178082192,-3.7567768
1977.704109589041,-1.5337353
1977.7890410958903,4.6480026
1977.8712328767124,0.83950996
1977.9561643835616,-4.355793
1978.041095890411,-2.9534898
1978.1205479452055,-1.7593851
1978.2027397260274,-1.0179734
1978.2849315068493,-0.30048084
1978.3698630136987,-1.0966942
1978.4520547945206,-1.2810268
1978.5369863013698,1.7477684
1978.6219178082192,1.5228043
1978.704109589041,0.4421425
1978.7890410958903,-2.2462654
1978.8712328767124,-1.6264114
1978.9561643835616,-2.3704195
1979.041095890411,-1.0615177
1979.1205479452055,-1.026289
1979.2027397260274,-0.5482135
1979.2849315068493,-0.22252393
1979.3698630136987,-0.2875862
1979.4520547945206,-2.3051653
1979.5369863013698,-3.224019
1979.6219178082192,0.062454224
1979.704109589041,1.2863464
1979.7890410958903,-1.811388
1979.8712328767124,-4.114897
1979.9561643835616,-4.3117924
1980.0409836065573,-2.6040788
1980.122950819672,-2.0003538
1980.204918032787,-1.079978
1980.2868852459017,-0.27569818
1980.3715846994535,-0.30813646
1980.4535519125684,-0.45191288
1980.5382513661202,2.1997128
1980.622950819672,-4.3455124
1980.704918032787,-7.3008175
1980.7896174863388,-4.234888
1980.8715846994535,-1.8081264
1980.9562841530055,0.15300179
1981.041095890411,-0.48310852
1981.1205479452055,-1.030448
1981.2027397260274,-0.6060085
1981.2849315068493,-0.3145771
1981.3698630136987,-1.16366
1981.4520547945206,-3.9874797
1981.5369863013698,-3.5325222
1981.6219178082192,-5.6683073
1981.704109589041,-5.886675
1981.7890410958903,-3.1893845
1981.8712328767124,-1.4914875
1981.9561643835616,-1.6879644
1982.041095890411,-1.7222819
1982.1205479452055,-1.6966352
1982.2027397260274,-1.2494569
1982.2849315068493,-0.7813282
1982.3698630136987,-1.0487125
1982.4520547945206,-2.727921
1982.5369863013698,-2.7125673
1982.6219178082192,-0.2961464
1982.704109589041,3.8694782
1982.7890410958903,3.3039398
1982.8712328767124,1.3589478
1982.9561643835616,-0.9932928
1983.041095890411,-0.38034058
1983.1205479452055,-0.8017268
1983.2027397260274,-0.7560885
1983.2849315068493,-0.605927
1983.3698630136987,-1.3550022
1983.4520547945206,-3.1510577
1983.5369863013698,-3.195654
1983.6219178082192,1.3632927
1983.704109589041,7.585108
1983.7890410958903,6.8581734
1983.8712328767124,9.411621
1983.9561643835616,11.02869
1984.0409836065573,8.6324835
1984.122950819672,6.6260967
1984.204918032787,3.946083
1984.2868852459017,0.4725983
1984.3715846994535,-1.317457
1984.4535519125684,-4.5474772
1984.5382513661202,-3.1211662
1984.622950819672,0.21597481
1984.704918032787,3.1355782
1984.7896174863388,7.4557114
1984.8715846994535,8.792484
1984.9562841530055,2.5030994
1985.041095890411,0.6961279
1985.1205479452055,-0.027909279
1985.2027397260274,-0.11684322
1985.2849315068493,-0.35538507
1985.3698630136987,-0.67499304
1985.4520547945206,-0.92602634
1985.5369863013698,-2.0508041
1985.6219178082192,3.4874878
1985.704109589041,4.8213367
1985.7890410958903,1.7210617
1985.8712328767124,-1.6877842
1985.9561643835616,-1.0687103
1986.041095890411,-0.43036175
1986.1205479452055,-1.0628557
1986.2027397260274,-0.916667
1986.2849315068493,-0.7985916
1986.3698630136987,-1.134043
1986.4520547945206,-4.252224
1986.5369863013698,-6.5947013
1986.6219178082192,-8.905204
1986.704109589041,-4.014084
1986.7890410958903,0.71928024
1986.8712328767124,4.03318
1986.9561643835616,1.2081852
1987.041095890411,0.21605301
1987.1205479452055,-0.53025293
1987.2027397260274,-0.858798
