# year, thetao_con
1976.0,25.894873
1976.0027322404371,26.059246
1976.0054644808743,26.119953
1976.0081967213114,26.26055
1976.0109289617487,26.478148
1976.0136612021859,26.425482
1976.016393442623,26.29074
1976.01912568306,26.155872
1976.0218579234972,26.313925
1976.0245901639344,26.750769
1976.0273224043715,26.855991
1976.0300546448088,27.258348
1976.032786885246,27.31104
1976.035519125683,26.904165
1976.0382513661202,26.708275
1976.0409836065573,26.703783
1976.0437158469945,26.660326
1976.0464480874316,26.483965
1976.049180327869,26.47551
1976.051912568306,26.638586
1976.0546448087432,26.686213
1976.0573770491803,26.83881
1976.0601092896175,26.812822
1976.0628415300546,26.875576
1976.0655737704917,26.982576
1976.068306010929,27.118664
1976.0710382513662,26.989922
1976.0737704918033,27.011421
1976.0765027322404,27.244923
1976.0792349726776,27.628641
1976.0819672131147,27.822412
1976.0846994535518,26.814373
1976.0874316939892,26.785616
1976.0901639344263,26.89859
1976.0928961748634,27.262035
1976.0956284153006,27.354662
1976.0983606557377,27.603312
1976.1010928961748,27.903563
1976.103825136612,28.22652
1976.1065573770493,28.132801
1976.1092896174864,27.980392
1976.1120218579235,27.75794
1976.1147540983607,27.580677
1976.1174863387978,27.571941
1976.120218579235,27.534489
1976.122950819672,27.508791
1976.1256830601094,27.459608
1976.1284153005465,27.54093
1976.1311475409836,27.587456
1976.1338797814208,27.601934
1976.136612021858,27.440498
1976.139344262295,27.465023
1976.1420765027322,27.472937
1976.1448087431695,27.674566
1976.1475409836066,27.652016
1976.1502732240438,27.612354
1976.1530054644809,27.682508
1976.155737704918,27.518375
1976.1584699453551,27.56069
1976.1612021857923,27.574785
1976.1639344262296,27.416395
1976.1666666666667,27.687979
1976.1693989071039,27.728113
1976.172131147541,27.702131
1976.1748633879781,27.634275
1976.1775956284152,27.668894
1976.1803278688524,27.638556
1976.1830601092897,27.70584
1976.1857923497269,27.830368
1976.188524590164,27.962477
1976.191256830601,28.098335
1976.1939890710382,28.022676
1976.1967213114754,27.836205
1976.1994535519125,28.060152
1976.2021857923498,28.138012
1976.204918032787,28.531898
1976.207650273224,28.302898
1976.2103825136612,28.373522
1976.2131147540983,28.234526
1976.2158469945355,28.196135
1976.2185792349726,28.236794
1976.22131147541,28.208227
1976.224043715847,28.131367
1976.2267759562842,28.135654
1976.2295081967213,28.079865
1976.2322404371585,28.190382
1976.2349726775956,28.233814
1976.2377049180327,28.101791
1976.24043715847,28.099491
1976.2431693989072,28.254189
1976.2459016393443,28.319277
1976.2486338797814,28.090637
1976.2513661202186,28.18593
1976.2540983606557,28.056744
1976.2568306010928,28.060398
1976.25956284153,28.165657
1976.2622950819673,28.161629
1976.2650273224044,28.03947
1976.2677595628415,28.174147
1976.2704918032787,28.23966
1976.2732240437158,28.2803
1976.275956284153,28.178905
1976.27868852459,28.407331
1976.2814207650274,28.406975
1976.2841530054645,28.138807
1976.2868852459017,28.091522
1976.2896174863388,28.022406
1976.292349726776,27.994469
1976.295081967213,27.998943
1976.2978142076502,27.895481
1976.3005464480875,27.884731
1976.3032786885246,27.857697
1976.3060109289618,27.826418
1976.308743169399,27.816677
1976.311475409836,27.742603
1976.3142076502731,27.69497
1976.3169398907103,27.905443
1976.3196721311476,27.960403
1976.3224043715848,27.876463
1976.3251366120219,27.688477
1976.327868852459,27.63164
1976.3306010928961,27.852016
1976.3333333333333,27.774372
1976.3360655737704,27.721733
1976.3387978142077,27.81667
1976.3415300546449,27.764381
1976.344262295082,27.693226
1976.3469945355191,27.604954
1976.3497267759562,27.52896
1976.3524590163934,27.439932
1976.3551912568305,27.408281
1976.3579234972678,27.379257
1976.360655737705,27.347326
1976.363387978142,27.347948
1976.3661202185792,27.326433
1976.3688524590164,27.309114
1976.3715846994535,27.263386
1976.3743169398906,27.217348
1976.377049180328,27.17299
1976.379781420765,27.113274
1976.3825136612022,27.011293
1976.3852459016393,27.001953
1976.3879781420765,26.941034
1976.3907103825136,26.897758
1976.3934426229507,26.868858
1976.396174863388,26.846128
1976.3989071038252,26.85428
1976.4016393442623,26.861715
1976.4043715846994,26.791956
1976.4071038251366,26.747562
1976.4098360655737,26.738163
1976.4125683060108,26.763357
1976.4153005464482,27.282145
1976.4180327868853,27.232235
1976.4207650273224,27.152136
1976.4234972677596,27.064795
1976.4262295081967,27.018303
1976.4289617486338,26.92592
1976.431693989071,26.840311
1976.4344262295083,26.763277
1976.4371584699454,26.682562
1976.4398907103825,26.59578
1976.4426229508197,26.523186
1976.4453551912568,26.480228
1976.448087431694,26.436903
1976.450819672131,26.396616
1976.4535519125684,26.333382
1976.4562841530055,26.273134
1976.4590163934427,26.228586
1976.4617486338798,26.172592
1976.464480874317,26.106422
1976.467213114754,26.027563
1976.4699453551912,25.960453
1976.4726775956285,25.885538
1976.4754098360656,25.812557
1976.4781420765028,25.746176
1976.48087431694,25.683798
1976.483606557377,25.630344
1976.4863387978141,25.582476
1976.4890710382513,25.53554
1976.4918032786886,25.514677
1976.4945355191257,25.492083
1976.4972677595629,26.353539
1976.5,26.279753
1976.5027322404371,26.198763
1976.5054644808743,26.123777
1976.5081967213114,26.03704
1976.5109289617487,25.940638
1976.5136612021859,25.845638
1976.516393442623,25.764387
1976.51912568306,25.70046
1976.5218579234972,25.630455
1976.5245901639344,25.544245
1976.5273224043715,25.461412
1976.5300546448088,25.374437
1976.532786885246,25.319801
1976.535519125683,25.260586
1976.5382513661202,25.18435
1976.5409836065573,25.129519
1976.5437158469945,25.104183
1976.5464480874316,25.063704
1976.549180327869,25.030478
1976.551912568306,24.994892
