# year, O3_c_anom
1976.0,14.420898
1976.0027322404371,15.3811035
1976.0054644808743,15.810303
1976.0081967213114,15.897217
1976.0109289617487,15.954834
1976.0136612021859,16.1521
1976.016393442623,16.139648
1976.01912568306,16.39624
1976.0218579234972,16.573975
1976.0245901639344,17.020508
1976.0273224043715,16.72583
1976.0300546448088,17.84668
1976.032786885246,19.007812
1976.035519125683,18.821533
1976.0382513661202,19.763184
1976.0409836065573,19.988037
1976.0437158469945,16.609375
1976.0464480874316,13.636963
1976.049180327869,18.324707
1976.051912568306,19.362305
1976.0546448087432,20.054443
1976.0573770491803,20.5979
1976.0601092896175,20.809326
1976.0628415300546,21.56958
1976.0655737704917,21.738281
1976.068306010929,21.97876
1976.0710382513662,23.053955
1976.0737704918033,22.377686
1976.0765027322404,23.352295
1976.0792349726776,23.44458
1976.0819672131147,24.039795
1976.0846994535518,23.85791
1976.0874316939892,24.904541
1976.0901639344263,25.74121
1976.0928961748634,25.64038
1976.0956284153006,25.620361
1976.0983606557377,26.735596
1976.1010928961748,28.069092
1976.103825136612,28.041504
1976.1065573770493,28.041748
1976.1092896174864,27.27539
1976.1120218579235,27.26416
1976.1147540983607,23.800049
1976.1174863387978,22.279541
1976.120218579235,19.881592
1976.122950819672,24.112549
1976.1256830601094,26.601562
1976.1284153005465,26.23999
1976.1311475409836,25.303223
1976.1338797814208,22.368164
1976.136612021858,21.970215
1976.139344262295,26.833496
1976.1420765027322,26.976318
1976.1448087431695,26.454102
1976.1475409836066,25.948242
1976.1502732240438,25.836182
1976.1530054644809,23.843994
1976.155737704918,15.9765625
1976.1584699453551,23.375244
1976.1612021857923,12.065674
1976.1639344262296,26.24292
1976.1666666666667,24.810791
1976.1693989071039,26.208984
1976.172131147541,27.72168
1976.1748633879781,24.419434
1976.1775956284152,26.135986
1976.1803278688524,27.252686
1976.1830601092897,26.991455
1976.1857923497269,23.320557
1976.188524590164,26.163086
1976.191256830601,27.853516
1976.1939890710382,29.06665
1976.1967213114754,28.549805
1976.1994535519125,27.968262
1976.2021857923498,28.910156
1976.204918032787,27.50879
1976.207650273224,28.22876
1976.2103825136612,29.18335
1976.2131147540983,26.706787
1976.2158469945355,25.78418
1976.2185792349726,27.636963
1976.22131147541,27.077148
1976.224043715847,25.584717
1976.2267759562842,24.848145
1976.2295081967213,27.852295
1976.2322404371585,26.85254
1976.2349726775956,26.16919
1976.2377049180327,24.937744
1976.24043715847,23.917236
1976.2431693989072,24.957031
1976.2459016393443,25.105713
1976.2486338797814,26.332031
1976.2513661202186,25.176758
1976.2540983606557,23.25415
1976.2568306010928,22.736816
1976.25956284153,25.067871
1976.2622950819673,26.242188
1976.2650273224044,23.604492
1976.2677595628415,25.1521
1976.2704918032787,25.45874
1976.2732240437158,25.8208
1976.275956284153,26.041504
1976.27868852459,26.485596
1976.2814207650274,26.201904
1976.2841530054645,23.464355
1976.2868852459017,23.543213
1976.2896174863388,27.519287
1976.292349726776,27.35498
1976.295081967213,25.277832
1976.2978142076502,28.952393
1976.3005464480875,28.80664
1976.3032786885246,27.532959
1976.3060109289618,26.592773
1976.308743169399,27.305176
1976.311475409836,29.341797
1976.3142076502731,29.108643
1976.3169398907103,27.85083
1976.3196721311476,26.950684
1976.3224043715848,26.633545
1976.3251366120219,25.804932
1976.327868852459,24.509766
1976.3306010928961,25.614258
1976.3333333333333,27.472656
1976.3360655737704,26.417236
1976.3387978142077,26.720215
1976.3415300546449,26.559814
1976.344262295082,27.3833
1976.3469945355191,28.081299
1976.3497267759562,28.13794
1976.3524590163934,24.811035
1976.3551912568305,24.347656
1976.3579234972678,24.624756
1976.360655737705,27.0
1976.363387978142,24.798828
1976.3661202185792,26.608887
1976.3688524590164,25.802246
1976.3715846994535,24.454834
1976.3743169398906,22.847412
1976.377049180328,21.562744
1976.379781420765,19.390625
1976.3825136612022,14.791504
1976.3852459016393,15.925781
1976.3879781420765,15.9296875
1976.3907103825136,15.022949
1976.3934426229507,13.171143
1976.396174863388,13.285156
1976.3989071038252,13.408203
1976.4016393442623,12.684814
1976.4043715846994,11.624512
1976.4071038251366,10.924072
1976.4098360655737,10.061523
1976.4125683060108,10.049316
1976.4153005464482,10.60083
1976.4180327868853,10.273926
1976.4207650273224,11.905762
1976.4234972677596,13.999023
1976.4262295081967,14.384277
1976.4289617486338,14.054932
1976.431693989071,14.010742
1976.4344262295083,13.623047
1976.4371584699454,13.32251
1976.4398907103825,12.879395
1976.4426229508197,11.078857
1976.4453551912568,10.197998
1976.448087431694,10.44043
1976.450819672131,10.752197
1976.4535519125684,10.0703125
1976.4562841530055,9.950439
1976.4590163934427,9.356445
1976.4617486338798,8.995117
1976.464480874317,8.705078
1976.467213114754,8.7734375
1976.4699453551912,8.416748
1976.4726775956285,8.253906
1976.4754098360656,8.033936
1976.4781420765028,7.8918457
1976.48087431694,7.8432617
1976.483606557377,7.902588
1976.4863387978141,7.9731445
1976.4890710382513,7.368164
1976.4918032786886,6.8789062
1976.4945355191257,6.864258
1976.4972677595629,6.668213
1976.5,6.0947266
1976.5027322404371,5.831299
1976.5054644808743,5.6972656
1976.5081967213114,5.590576
1976.5109289617487,5.321533
1976.5136612021859,4.9277344
1976.516393442623,5.16333
1976.51912568306,4.967041
1976.5218579234972,5.0512695
1976.5245901639344,4.9887695
1976.5273224043715,4.9074707
1976.5300546448088,5.050293
1976.532786885246,4.929199
1976.535519125683,4.9375
1976.5382513661202,5.2285156
1976.5409836065573,4.888672
1976.5437158469945,4.7768555
1976.5464480874316,4.569092
1976.549180327869,4.23291
1976.551912568306,3.822754
1976.5546448087432,3.4746094
1976.5573770491803,3.2729492
1976.5601092896175,3.3007812
1976.5628415300546,3.6079102
1976.5655737704917,3.4604492
1976.568306010929,3.109375
1976.5710382513662,2.692627
1976.5737704918033,2.1887207
1976.5765027322404,2.246582
1976.5792349726776,1.9406738
1976.5819672131147,0.7624512
1976.5846994535518,-0.38623047
1976.5874316939892,-1.25
1976.5901639344263,-2.1081543
1976.5928961748634,-2.66333
1976.5956284153006,-3.364746
1976.5983606557377,-4.534912
1976.6010928961748,-5.0964355
1976.603825136612,-5.5786133
1976.6065573770493,-6.152832
1976.6092896174864,-6.827881
1976.6120218579235,-7.2216797
1976.6147540983607,-7.7651367
1976.6174863387978,-7.526367
1976.620218579235,-7.658203
1976.622950819672,-8.006836
1976.6256830601094,-8.358643
1976.6284153005465,-8.738525
1976.6311475409836,-8.8029785
1976.6338797814208,-8.91333
1976.636612021858,-8.962891
1976.639344262295,-9.384033
1976.6420765027322,-9.752686
1976.6448087431695,-10.08252
1976.6475409836066,-10.209473
1976.6502732240438,-10.605469
1976.6530054644809,-10.464111
1976.655737704918,-10.592041
1976.6584699453551,-10.841553
1976.6612021857923,-10.398193
1976.6639344262296,-10.237305
1976.6666666666667,-10.80542
1976.6693989071039,-11.516602
1976.672131147541,-12.566406
1976.6748633879781,-12.819336
1976.6775956284152,-13.026367
1976.6803278688524,-13.739258
1976.6830601092897,-14.0251465
1976.6857923497269,-14.391846
1976.688524590164,-14.745117
1976.691256830601,-14.947266
1976.6939890710382,-15.289551
1976.6967213114754,-15.5703125
1976.6994535519125,-16.002686
1976.7021857923498,-16.33374
1976.704918032787,-16.294922
1976.707650273224,-16.306885
1976.7103825136612,-16.620117
1976.7131147540983,-16.788574
1976.7158469945355,-16.9292
1976.7185792349726,-17.138672
1976.72131147541,-17.663086
1976.724043715847,-17.839355
1976.7267759562842,-17.706299
1976.7295081967213,-17.770508
1976.7322404371585,-17.761719
1976.7349726775956,-17.648682
1976.7377049180327,-17.443115
1976.74043715847,-17.190186
1976.7431693989072,-17.239014
1976.7459016393443,-17.811035
1976.7486338797814,-18.341064
1976.7513661202186,-18.483643
1976.7540983606557,-19.018799
1976.7568306010928,-19.884033
1976.75956284153,-20.814209
1976.7622950819673,-21.001465
1976.7650273224044,-21.012207
1976.7677595628415,-21.613525
1976.7704918032787,-21.733154
1976.7732240437158,-21.909668
1976.775956284153,-22.185791
1976.77868852459,-22.203613
1976.7814207650274,-22.705078
1976.7841530054645,-23.108887
1976.7868852459017,-23.101318
1976.7896174863388,-22.942383
1976.792349726776,-23.375977
1976.795081967213,-23.631348
1976.7978142076502,-23.029053
1976.8005464480875,-22.722168
1976.8032786885246,-22.81543
1976.8060109289618,-22.251465
1976.808743169399,-22.278809
1976.811475409836,-22.158447
1976.8142076502731,-21.454834
1976.8169398907103,-21.68335
1976.8196721311476,-21.9729
1976.8224043715848,-21.503418
1976.8251366120219,-21.40747
1976.827868852459,-21.414795
1976.8306010928961,-20.896484
1976.8333333333333,-20.004883
1976.8360655737704,-19.829102
1976.8387978142077,-19.924805
1976.8415300546449,-19.493408
1976.844262295082,-18.253906
1976.8469945355191,-17.966797
1976.8497267759562,-18.548096
1976.8524590163934,-17.4375
1976.8551912568305,-16.17627
1976.8579234972678,-15.921631
1976.860655737705,-15.206787
1976.863387978142,-14.9123535
1976.8661202185792,-14.555908
1976.8688524590164,-13.196289
1976.8715846994535,-12.322266
1976.8743169398906,-12.230469
1976.877049180328,-10.526123
1976.879781420765,-9.57373
1976.8825136612022,-9.596924
1976.8852459016393,-8.39209
1976.8879781420765,-7.390381
1976.8907103825136,-7.1191406
1976.8934426229507,-6.133789
1976.896174863388,-5.30249
1976.8989071038252,-4.802002
1976.9016393442623,-3.746338
1976.9043715846994,-3.2443848
1976.9071038251366,-3.4643555
1976.9098360655737,-4.958008
1976.9125683060108,-3.0063477
1976.9153005464482,0.1887207
1976.9180327868853,0.041015625
1976.9207650273224,0.13476562
1976.9234972677596,0.38330078
1976.9262295081967,0.7285156
1976.9289617486338,1.5388184
1976.931693989071,1.9489746
1976.9344262295083,3.4450684
1976.9371584699454,4.576172
1976.9398907103825,5.071289
1976.9426229508197,5.6398926
1976.9453551912568,5.7248535
1976.948087431694,5.800537
1976.950819672131,6.026367
1976.9535519125684,7.0910645
1976.9562841530055,7.0942383
1976.9590163934427,7.7736816
1976.9617486338798,7.737549
1976.964480874317,7.932129
1976.967213114754,8.769043
1976.9699453551912,9.493652
1976.9726775956285,9.594727
1976.9754098360656,9.833252
1976.9781420765028,10.673828
1976.98087431694,11.437988
1976.983606557377,11.244385
1976.9863387978141,11.276611
1976.9890710382513,11.034424
1976.9918032786886,11.0354
1976.9945355191257,11.845215
1976.9972677595629,11.549805
1977.0,10.5529785
1977.0027397260274,11.13916
1977.0054794520547,10.960205
1977.0082191780823,9.797119
1977.0109589041097,9.151123
1977.013698630137,8.348877
1977.0164383561644,7.088135
1977.0191780821917,5.8703613
1977.021917808219,5.9975586
1977.0246575342467,6.25
1977.027397260274,5.4433594
1977.0301369863014,3.0039062
1977.0328767123287,0.2211914
1977.035616438356,-0.72143555
1977.0383561643835,-4.017334
1977.041095890411,-2.5197754
1977.0438356164384,1.0490723
1977.0465753424658,-0.7919922
1977.0493150684931,-2.3676758
1977.0520547945205,-2.7294922
1977.054794520548,-4.019043
1977.0575342465754,-4.102539
1977.0602739726028,-2.8137207
1977.0630136986301,-3.3591309
1977.0657534246575,-5.793701
1977.0684931506848,-7.715576
1977.0712328767124,-7.3305664
1977.0739726027398,-7.9699707
1977.0767123287671,-10.6796875
1977.0794520547945,-13.762939
1977.0821917808219,-10.710693
1977.0849315068492,-9.780029
1977.0876712328768,-11.068115
1977.0904109589042,-10.8125
1977.0931506849315,-11.302002
1977.0958904109589,-10.501953
1977.0986301369862,-10.178711
1977.1013698630136,-9.953125
1977.1041095890412,-10.355713
1977.1068493150685,-12.037598
1977.109589041096,-11.753174
1977.1123287671232,-7.998047
1977.1150684931506,-7.225342
1977.1178082191782,-8.233154
1977.1205479452055,-7.5754395
1977.123287671233,-6.429199
1977.1260273972603,-5.477295
1977.1287671232876,-3.8034668
1977.131506849315,-4.904785
1977.1342465753426,-13.206787
1977.13698630137,-15.045166
1977.1397260273973,-11.138672
1977.1424657534246,-13.408691
1977.145205479452,-9.137451
1977.1479452054793,-7.037842
1977.150684931507,-7.2285156
1977.1534246575343,-9.689209
1977.1561643835616,-6.864746
1977.158904109589,-7.0769043
1977.1616438356164,-10.649414
1977.164383561644,-12.036133
1977.1671232876713,-9.125488
1977.1698630136987,-7.7558594
1977.172602739726,-11.352051
1977.1753424657534,-10.428467
1977.1780821917807,-7.0185547
1977.1808219178083,-4.8415527
1977.1835616438357,-5.334961
1977.186301369863,-7.6035156
1977.1890410958904,-9.540039
1977.1917808219177,-9.732422
1977.194520547945,-5.1777344
1977.1972602739727,-5.5686035
1977.2,-4.21167
1977.2027397260274,-4.9536133
1977.2054794520548,-8.454102
1977.2082191780821,-11.15625
1977.2109589041097,-7.3605957
1977.213698630137,-9.14209
1977.2164383561644,-14.031006
1977.2191780821918,-10.39624
1977.2219178082191,-6.506836
1977.2246575342465,-5.6953125
1977.227397260274,-7.5202637
1977.2301369863014,-7.8410645
1977.2328767123288,-8.400879
1977.2356164383561,-8.932861
