# year, O3_TA_anom
1976.0,0.004638672
1976.0027322404371,0.8635254
1976.0054644808743,1.1030273
1976.0081967213114,0.9016113
1976.0109289617487,0.5422363
1976.0136612021859,0.091796875
1976.016393442623,-0.53930664
1976.01912568306,-0.75634766
1976.0218579234972,-1.3586426
1976.0245901639344,-1.4519043
1976.0273224043715,-1.9211426
1976.0300546448088,-1.1918945
1976.032786885246,-0.46557617
1976.035519125683,-1.0861816
1976.0382513661202,-0.49267578
1976.0409836065573,-0.9658203
1976.0437158469945,-5.499756
1976.0464480874316,-9.508057
1976.049180327869,-4.3901367
1976.051912568306,-3.8598633
1976.0546448087432,-4.0705566
1976.0573770491803,-3.722168
1976.0601092896175,-3.706787
1976.0628415300546,-3.4501953
1976.0655737704917,-3.7770996
1976.068306010929,-3.8535156
1976.0710382513662,-2.775879
1976.0737704918033,-4.039795
1976.0765027322404,-3.5285645
1976.0792349726776,-3.4138184
1976.0819672131147,-2.6030273
1976.0846994535518,-3.0200195
1976.0874316939892,-2.2875977
1976.0901639344263,-1.7998047
1976.0928961748634,-2.0332031
1976.0956284153006,-1.9326172
1976.0983606557377,-0.9230957
1976.1010928961748,-0.11401367
1976.103825136612,-0.30200195
1976.1065573770493,0.111328125
1976.1092896174864,-0.77319336
1976.1120218579235,-0.8586426
1976.1147540983607,-4.9921875
1976.1174863387978,-6.6706543
1976.120218579235,-9.480469
1976.122950819672,-4.791504
1976.1256830601094,-2.4562988
1976.1284153005465,-2.5961914
1976.1311475409836,-3.0544434
1976.1338797814208,-6.3413086
1976.136612021858,-7.574463
1976.139344262295,-2.6835938
1976.1420765027322,-2.5961914
1976.1448087431695,-2.4606934
1976.1475409836066,-2.1601562
1976.1502732240438,-2.743164
1976.1530054644809,-5.759033
1976.155737704918,-14.67334
1976.1584699453551,-5.640381
1976.1612021857923,-9.890381
1976.1639344262296,-2.5756836
1976.1666666666667,-4.261963
1976.1693989071039,-2.6125488
1976.172131147541,-0.982666
1976.1748633879781,-4.698242
1976.1775956284152,-2.3701172
1976.1803278688524,-0.7775879
1976.1830601092897,-0.7844238
1976.1857923497269,-4.9802246
1976.188524590164,-1.4912109
1976.191256830601,0.3803711
1976.1939890710382,1.328125
1976.1967213114754,0.81152344
1976.1994535519125,0.17285156
1976.2021857923498,1.6291504
1976.204918032787,0.9831543
1976.207650273224,1.5048828
1976.2103825136612,1.5297852
1976.2131147540983,-0.8312988
1976.2158469945355,-1.1687012
1976.2185792349726,1.1674805
1976.22131147541,0.5866699
1976.224043715847,-0.70092773
1976.2267759562842,-0.84277344
1976.2295081967213,2.5651855
1976.2322404371585,1.0209961
1976.2349726775956,0.51904297
1976.2377049180327,0.20947266
1976.24043715847,-0.3552246
1976.2431693989072,0.4572754
1976.2459016393443,0.6074219
1976.2486338797814,2.3134766
1976.2513661202186,1.0461426
1976.2540983606557,-1.3557129
1976.2568306010928,-1.9909668
1976.25956284153,0.91918945
1976.2622950819673,2.4436035
1976.2650273224044,-0.48876953
1976.2677595628415,1.5617676
1976.2704918032787,2.0356445
1976.2732240437158,2.4719238
1976.275956284153,2.9179688
1976.27868852459,3.6794434
1976.2814207650274,4.001465
1976.2841530054645,0.65966797
1976.2868852459017,0.12207031
1976.2896174863388,4.5895996
1976.292349726776,4.755615
1976.295081967213,2.8549805
1976.2978142076502,7.0439453
1976.3005464480875,6.848633
1976.3032786885246,5.996338
1976.3060109289618,6.251953
1976.308743169399,7.479248
1976.311475409836,8.9123535
1976.3142076502731,8.956055
1976.3169398907103,8.563477
1976.3196721311476,8.888428
1976.3224043715848,8.428223
1976.3251366120219,6.586426
1976.327868852459,4.9575195
1976.3306010928961,7.3554688
1976.3333333333333,9.776367
1976.3360655737704,8.616455
1976.3387978142077,9.606201
1976.3415300546449,10.179443
1976.344262295082,10.615723
1976.3469945355191,11.300049
1976.3497267759562,11.607666
1976.3524590163934,8.331055
1976.3551912568305,8.443848
1976.3579234972678,8.706055
1976.360655737705,10.976318
1976.363387978142,8.564697
1976.3661202185792,11.085449
1976.3688524590164,10.255859
1976.3715846994535,9.039307
1976.3743169398906,7.7338867
1976.377049180328,6.6394043
1976.379781420765,4.6933594
1976.3825136612022,0.25805664
1976.3852459016393,2.0205078
1976.3879781420765,2.1916504
1976.3907103825136,1.4907227
1976.3934426229507,0.07495117
1976.396174863388,0.9790039
1976.3989071038252,1.4077148
1976.4016393442623,0.8618164
1976.4043715846994,0.21240234
1976.4071038251366,-0.45922852
1976.4098360655737,-1.3825684
1976.4125683060108,-1.0622559
1976.4153005464482,-0.4423828
1976.4180327868853,-0.67407227
1976.4207650273224,0.73583984
1976.4234972677596,2.286377
1976.4262295081967,2.6899414
1976.4289617486338,2.1699219
1976.431693989071,1.9460449
1976.4344262295083,1.4904785
1976.4371584699454,1.4694824
1976.4398907103825,1.189209
1976.4426229508197,-0.23217773
1976.4453551912568,-0.7126465
1976.448087431694,-0.12646484
1976.450819672131,0.5058594
1976.4535519125684,0.12915039
1976.4562841530055,0.43237305
1976.4590163934427,0.3112793
1976.4617486338798,0.28710938
1976.464480874317,0.08935547
1976.467213114754,0.061279297
1976.4699453551912,-0.122802734
1976.4726775956285,-0.2446289
1976.4754098360656,-0.39697266
1976.4781420765028,-0.58813477
1976.48087431694,-0.68530273
1976.483606557377,-0.7573242
1976.4863387978141,-0.85791016
1976.4890710382513,-1.2878418
1976.4918032786886,-1.4909668
1976.4945355191257,-1.1687012
1976.4972677595629,-1.1408691
1976.5,-1.3818359
1976.5027322404371,-1.3588867
1976.5054644808743,-1.1589355
