# year, vo
1976.0,-0.06006671
1976.0027322404371,-0.038114626
1976.0054644808743,0.07387173
1976.0081967213114,-0.010163279
1976.0109289617487,-0.059115686
1976.0136612021859,0.015824838
1976.016393442623,-0.061794598
1976.01912568306,-0.093214974
1976.0218579234972,-0.07676505
1976.0245901639344,-0.053516764
1976.0273224043715,0.033974085
1976.0300546448088,0.0013819018
1976.032786885246,-0.010248845
1976.035519125683,0.036096822
1976.0382513661202,-0.10091979
1976.0409836065573,-0.14024523
1976.0437158469945,-0.07631771
1976.0464480874316,0.05446094
1976.049180327869,0.11531764
1976.051912568306,-0.07629355
1976.0546448087432,-0.07551732
1976.0573770491803,-0.0054436573
1976.0601092896175,-3.9114944e-05
1976.0628415300546,-0.03013816
1976.0655737704917,-0.12136475
1976.068306010929,-0.027248614
1976.0710382513662,0.032993857
1976.0737704918033,-0.14237215
1976.0765027322404,-0.055144038
1976.0792349726776,0.00052130315
1976.0819672131147,-0.029609561
1976.0846994535518,0.00018475614
1976.0874316939892,0.039091304
1976.0901639344263,-0.052317593
1976.0928961748634,-0.0585216
1976.0956284153006,0.10595688
1976.0983606557377,0.041998535
1976.1010928961748,-0.13677229
1976.103825136612,0.036473036
1976.1065573770493,0.013849559
1976.1092896174864,-0.09176235
1976.1120218579235,-0.05128769
1976.1147540983607,-0.13988967
1976.1174863387978,-0.029993797
1976.120218579235,0.039321363
1976.122950819672,-0.06258519
1976.1256830601094,-0.085135795
1976.1284153005465,-0.12995462
1976.1311475409836,-0.004928394
1976.1338797814208,-0.02956385
1976.136612021858,0.06210529
1976.139344262295,0.07826521
1976.1420765027322,-0.15340938
1976.1448087431695,-0.20471203
1976.1475409836066,0.062042233
1976.1502732240438,0.028836528
1976.1530054644809,-0.110235214
1976.155737704918,-0.02122609
1976.1584699453551,-0.0039689885
1976.1612021857923,-0.15073778
1976.1639344262296,-0.06846486
1976.1666666666667,0.030559702
1976.1693989071039,0.1338322
1976.172131147541,-0.029541954
1976.1748633879781,-0.19791214
1976.1775956284152,0.062125348
1976.1803278688524,0.076498136
1976.1830601092897,-0.08768387
1976.1857923497269,-0.080654934
1976.188524590164,0.096008375
1976.191256830601,0.10521809
1976.1939890710382,0.002458741
1976.1967213114754,0.041688535
1976.1994535519125,-0.02477535
1976.2021857923498,-0.045703433
1976.204918032787,0.07507118
1976.207650273224,0.042877976
1976.2103825136612,-0.05544556
1976.2131147540983,0.04391512
1976.2158469945355,-0.04293886
1976.2185792349726,0.0065966826
1976.22131147541,-0.07713792
1976.224043715847,-0.1287275
1976.2267759562842,0.115145445
1976.2295081967213,0.042517785
1976.2322404371585,-0.16677739
1976.2349726775956,-0.074186794
1976.2377049180327,-0.04227811
1976.24043715847,-0.10362405
1976.2431693989072,-0.023594797
1976.2459016393443,-0.030205414
1976.2486338797814,-0.02243176
1976.2513661202186,-0.0026682038
1976.2540983606557,-0.015163007
1976.2568306010928,0.039785553
1976.25956284153,0.0511832
1976.2622950819673,-0.049263462
1976.2650273224044,0.049478162
1976.2677595628415,0.05103554
1976.2704918032787,0.034348905
1976.2732240437158,0.026888052
1976.275956284153,0.026137333
1976.27868852459,-0.084687896
1976.2814207650274,-0.0077665765
1976.2841530054645,0.09278805
1976.2868852459017,-0.05507479
1976.2896174863388,-0.02510628
1976.292349726776,-0.045149133
1976.295081967213,-0.011282644
1976.2978142076502,0.14411166
1976.3005464480875,-0.20366445
1976.3032786885246,-0.16835123
1976.3060109289618,0.07359398
1976.308743169399,-0.030549962
1976.311475409836,-0.027896596
1976.3142076502731,-0.054051068
1976.3169398907103,-0.15728757
1976.3196721311476,0.02716912
1976.3224043715848,0.057585016
1976.3251366120219,-0.107577436
1976.327868852459,-0.20655492
1976.3306010928961,0.010337517
1976.3333333333333,-0.0020204824
1976.3360655737704,-0.13764012
1976.3387978142077,-0.04249433
1976.3415300546449,0.057875715
1976.344262295082,-0.0008006463
1976.3469945355191,-0.082438715
1976.3497267759562,-0.14326009
1976.3524590163934,-0.15369903
1976.3551912568305,-0.058996577
1976.3579234972678,0.081378445
1976.360655737705,0.059748992
1976.363387978142,-0.07011297
1976.3661202185792,-0.008363475
1976.3688524590164,-0.039332747
1976.3715846994535,-0.08562448
1976.3743169398906,-0.09881236
1976.377049180328,-0.16956337
1976.379781420765,-0.09424615
1976.3825136612022,-0.11707579
1976.3852459016393,-0.12195372
1976.3879781420765,-0.027870467
1976.3907103825136,-0.069624886
1976.3934426229507,-0.08871536
1976.396174863388,-0.0059954375
1976.3989071038252,-0.0045411037
1976.4016393442623,-0.03081931
1976.4043715846994,-0.0068935584
1976.4071038251366,0.010346646
1976.4098360655737,-0.049019713
1976.4125683060108,-0.039902676
1976.4153005464482,-0.06185228
1976.4180327868853,0.007423734
1976.4207650273224,0.074794166
1976.4234972677596,-0.10024118
1976.4262295081967,-0.10927788
1976.4289617486338,-0.014056244
1976.431693989071,-0.10470513
1976.4344262295083,-0.07863084
1976.4371584699454,0.0040210006
1976.4398907103825,-0.03808273
1976.4426229508197,-0.09818713
1976.4453551912568,-0.03288085
1976.448087431694,0.044190995
1976.450819672131,-0.03727422
1976.4535519125684,-0.08572942
1976.4562841530055,-0.022262786
1976.4590163934427,0.0008904339
1976.4617486338798,-0.01775059
1976.464480874317,-0.05611667
1976.467213114754,-0.07905797
1976.4699453551912,-0.073921464
1976.4726775956285,-0.07017396
1976.4754098360656,-0.05712433
1976.4781420765028,-0.03505149
1976.48087431694,-0.056888975
1976.483606557377,-0.09526062
1976.4863387978141,-0.08917914
1976.4890710382513,-0.087757856
1976.4918032786886,0.014129748
1976.4945355191257,0.039200634
1976.4972677595629,-0.05030822
1976.5,-0.04502138
1976.5027322404371,0.025319206
1976.5054644808743,-0.014096357
1976.5081967213114,-0.08640239
1976.5109289617487,-0.108621284
1976.5136612021859,-0.056299437
1976.516393442623,-0.02189341
1976.51912568306,-0.014611514
1976.5218579234972,-0.031622
1976.5245901639344,-0.106844395
1976.5273224043715,-0.07313735
1976.5300546448088,0.0016402875
1976.532786885246,-0.007618924
1976.535519125683,0.007662571
1976.5382513661202,-0.031707317
1976.5409836065573,-0.036185022
1976.5437158469945,0.025299978
1976.5464480874316,0.031144394
1976.549180327869,-0.028767342
1976.551912568306,-0.018903319
1976.5546448087432,0.033502623
1976.5573770491803,0.07220974
1976.5601092896175,0.005112344
1976.5628415300546,-0.062133014
1976.5655737704917,-0.059725568
1976.568306010929,-0.030006258
1976.5710382513662,-0.051766966
1976.5737704918033,-0.024158483
1976.5765027322404,0.03818281
1976.5792349726776,-0.01579197
1976.5819672131147,-0.011833234
1976.5846994535518,-0.013481171
1976.5874316939892,-0.025884617
1976.5901639344263,-0.0011022454
1976.5928961748634,0.0062985374
1976.5956284153006,-0.085009046
1976.5983606557377,-0.11512326
1976.6010928961748,0.006677749
1976.603825136612,0.031141462
1976.6065573770493,-0.01318552
1976.6092896174864,-0.01248186
1976.6120218579235,-0.0015732786
1976.6147540983607,0.023025595
1976.6174863387978,0.030830748
1976.620218579235,-0.049129214
1976.622950819672,-0.08973156
1976.6256830601094,-0.025562024
1976.6284153005465,0.06267804
1976.6311475409836,0.06661187
1976.6338797814208,0.035338376
1976.636612021858,0.0054459167
1976.639344262295,-0.046210255
1976.6420765027322,-0.085817866
1976.6448087431695,-0.031935696
1976.6475409836066,0.07797165
1976.6502732240438,0.080504954
1976.6530054644809,0.022052232
1976.655737704918,-0.04263996
1976.6584699453551,-0.0020161148
1976.6612021857923,0.018766884
1976.6639344262296,-0.07298572
1976.6666666666667,-0.09792628
1976.6693989071039,-0.11673001
1976.672131147541,-0.044535317
1976.6748633879781,0.054640077
1976.6775956284152,-0.019285753
1976.6803278688524,-0.036149077
1976.6830601092897,0.022082357
1976.6857923497269,-0.010729438
1976.688524590164,-0.004933513
1976.691256830601,-0.014080428
1976.6939890710382,-0.049020067
1976.6967213114754,-0.02195141
1976.6994535519125,-0.021544317
1976.7021857923498,-0.022370264
1976.704918032787,0.012182982
1976.707650273224,0.019520326
1976.7103825136612,0.00591439
1976.7131147540983,0.009692462
1976.7158469945355,-0.0013741761
1976.7185792349726,-0.030730266
1976.72131147541,0.026467033
1976.724043715847,0.05877821
1976.7267759562842,-0.03676286
1976.7295081967213,-0.054634534
1976.7322404371585,-0.0008690117
1976.7349726775956,-0.038748696
1976.7377049180327,-0.06897823
1976.74043715847,-0.011663081
1976.7431693989072,-0.026878439
1976.7459016393443,-0.071100265
1976.7486338797814,0.005543118
1976.7513661202186,0.01733622
1976.7540983606557,-0.07576809
1976.7568306010928,-0.10474298
1976.75956284153,0.0037204858
1976.7622950819673,0.058348857
1976.7650273224044,-0.028925216
1976.7677595628415,-0.0051074815
1976.7704918032787,0.025482342
1976.7732240437158,-0.07041434
1976.775956284153,-0.06670571
1976.77868852459,-0.039064553
1976.7814207650274,-0.10704166
1976.7841530054645,-0.043734506
1976.7868852459017,0.051203765
1976.7896174863388,0.003038784
1976.792349726776,-0.035639923
1976.795081967213,0.05485338
1976.7978142076502,-0.015818248
1976.8005464480875,-0.093044326
1976.8032786885246,-0.0076905526
1976.8060109289618,-0.016060205
1976.808743169399,-0.052724615
1976.811475409836,0.06308552
1976.8142076502731,0.025399486
1976.8169398907103,-0.10387793
1976.8196721311476,0.022084503
1976.8224043715848,0.06892491
1976.8251366120219,-0.059646726
1976.827868852459,-0.05024806
1976.8306010928961,-0.030736824
1976.8333333333333,0.009952292
1976.8360655737704,0.0112457955
1976.8387978142077,-0.079834096
1976.8415300546449,-0.043095473
1976.844262295082,0.03375002
1976.8469945355191,-0.064198725
1976.8497267759562,-0.06344783
1976.8524590163934,-0.018510416
1976.8551912568305,-0.08258421
1976.8579234972678,0.0024220145
1976.860655737705,-0.03601571
1976.863387978142,-0.18571153
1976.8661202185792,-0.09601237
1976.8688524590164,0.08678336
1976.8715846994535,-0.11350301
1976.8743169398906,-0.14504656
1976.877049180328,0.0024703362
1976.879781420765,-0.090873696
1976.8825136612022,-0.062066406
1976.8852459016393,0.0038091093
