# year, uo_anom
1976.0,-0.047267042
1976.0027322404371,0.07784724
1976.0054644808743,0.0003151223
1976.0081967213114,-0.024874404
1976.0109289617487,0.060447454
1976.0136612021859,0.013466835
1976.016393442623,-0.048590593
1976.01912568306,0.020703278
1976.0218579234972,0.03873502
1976.0245901639344,0.10391773
1976.0273224043715,0.0744699
1976.0300546448088,0.059624374
1976.032786885246,0.07340415
1976.035519125683,-0.06366666
1976.0382513661202,-0.071419224
1976.0409836065573,0.05481297
1976.0437158469945,0.060437933
1976.0464480874316,0.09807785
1976.049180327869,-0.022781007
1976.051912568306,-0.05593933
1976.0546448087432,0.062161405
1976.0573770491803,0.029571112
1976.0601092896175,0.028089061
1976.0628415300546,-0.011089206
1976.0655737704917,0.07022316
1976.068306010929,0.10007758
1976.0710382513662,-0.07350467
1976.0737704918033,-0.040527213
1976.0765027322404,0.09511436
1976.0792349726776,0.05300536
1976.0819672131147,0.046692118
1976.0846994535518,0.05556997
1976.0874316939892,-0.0382962
1976.0901639344263,-0.04855147
1976.0928961748634,0.07520467
1976.0956284153006,0.07428115
1976.0983606557377,-0.06298791
1976.1010928961748,0.045983106
1976.103825136612,0.07904504
1976.1065573770493,-0.06612119
1976.1092896174864,-0.0018127114
1976.1120218579235,-0.0537471
1976.1147540983607,-0.048815634
1976.1174863387978,0.074730396
1976.120218579235,0.012581363
1976.122950819672,-0.040537894
1976.1256830601094,-0.12168145
1976.1284153005465,-0.03409434
1976.1311475409836,0.05825246
1976.1338797814208,-0.024192736
1976.136612021858,0.07930647
1976.139344262295,-0.12823299
1976.1420765027322,-0.10225766
1976.1448087431695,0.109935984
1976.1475409836066,0.049563557
1976.1502732240438,-0.13241169
1976.1530054644809,-0.019782782
1976.155737704918,0.07665925
1976.1584699453551,-0.048946895
1976.1612021857923,-0.074001916
1976.1639344262296,0.036651436
1976.1666666666667,0.053725466
1976.1693989071039,-0.01717866
1976.172131147541,-0.1232141
1976.1748633879781,0.05907551
1976.1775956284152,0.026214445
1976.1803278688524,-0.22466792
1976.1830601092897,-0.05871377
1976.1857923497269,0.09001866
1976.188524590164,0.09978051
1976.191256830601,-0.033420183
1976.1939890710382,-0.063398436
1976.1967213114754,-0.0285155
1976.1994535519125,-0.08106855
1976.2021857923498,0.12341775
1976.204918032787,0.12742177
1976.207650273224,-0.088761985
1976.2103825136612,-0.07716697
1976.2131147540983,-0.069103256
1976.2158469945355,-0.06607025
1976.2185792349726,0.032479223
1976.22131147541,0.04846006
1976.224043715847,0.12071772
1976.2267759562842,0.04727172
1976.2295081967213,-0.18480197
1976.2322404371585,-0.017834969
1976.2349726775956,0.056477945
1976.2377049180327,-0.039304912
1976.24043715847,0.0061972067
1976.2431693989072,0.06505406
1976.2459016393443,-0.025894338
1976.2486338797814,-0.0025220066
1976.2513661202186,0.0052873045
1976.2540983606557,0.04769758
1976.2568306010928,0.09085505
1976.25956284153,-0.09630366
1976.2622950819673,-0.056862205
1976.2650273224044,0.03217087
1976.2677595628415,-0.0358172
1976.2704918032787,0.0031117424
1976.2732240437158,-0.026420712
1976.275956284153,-0.04669172
1976.27868852459,-0.01230007
1976.2814207650274,0.043836143
1976.2841530054645,-0.04579445
1976.2868852459017,-0.08598262
1976.2896174863388,0.0049399287
1976.292349726776,-0.012438316
1976.295081967213,0.12043059
1976.2978142076502,-0.14040446
1976.3005464480875,-0.17290112
1976.3032786885246,0.12194128
1976.3060109289618,0.008674301
1976.308743169399,-0.05868318
1976.311475409836,-0.01580995
1976.3142076502731,-0.110230945
