# year, uo
1976.0,-0.13973013
1976.0027322404371,-0.011336467
1976.0054644808743,-0.10080778
1976.0081967213114,-0.13397574
1976.0109289617487,-0.03325312
1976.0136612021859,-0.060215987
1976.016393442623,-0.13461813
1976.01912568306,-0.08393303
1976.0218579234972,-0.041713957
1976.0245901639344,0.029106049
1976.0273224043715,-0.025513494
1976.0300546448088,-0.008709418
1976.032786885246,0.021043386
1976.035519125683,-0.15631416
1976.0382513661202,-0.18839076
1976.0409836065573,-0.035990518
1976.0437158469945,-0.026861511
1976.0464480874316,0.035773687
1976.049180327869,-0.11380178
1976.051912568306,-0.18717821
1976.0546448087432,-0.009889473
1976.0573770491803,-0.04733881
1976.0601092896175,-0.067512155
1976.0628415300546,-0.07620804
1976.0655737704917,0.0010372958
1976.068306010929,0.021647833
1976.0710382513662,-0.15996936
1976.0737704918033,-0.09729377
1976.0765027322404,0.06609981
1976.0792349726776,-0.00986773
1976.0819672131147,-0.03051804
1976.0846994535518,-0.02376566
1976.0874316939892,-0.108470224
1976.0901639344263,-0.1282729
1976.0928961748634,-0.00954368
1976.0956284153006,0.018568592
1976.0983606557377,-0.13551287
1976.1010928961748,-0.01819442
1976.103825136612,0.03967871
1976.1065573770493,-0.13371733
1976.1092896174864,-0.06624144
1976.1120218579235,-0.10898008
1976.1147540983607,-0.08923603
1976.1174863387978,0.02903154
1976.120218579235,-0.08257247
1976.122950819672,-0.10621582
1976.1256830601094,-0.13158351
1976.1284153005465,-0.062316053
1976.1311475409836,-0.0033429277
1976.1338797814208,-0.10967544
1976.136612021858,0.05097071
1976.139344262295,-0.17028105
1976.1420765027322,-0.19754024
1976.1448087431695,0.03915622
1976.1475409836066,0.04642094
1976.1502732240438,-0.1752958
1976.1530054644809,-0.08653474
1976.155737704918,0.01565481
1976.1584699453551,-0.11355214
1976.1612021857923,-0.14053157
1976.1639344262296,-0.0027285405
1976.1666666666667,0.022615544
1976.1693989071039,-0.027767826
1976.172131147541,-0.17130768
1976.1748633879781,-0.009876904
1976.1775956284152,0.037316676
