# year, so_abs_clim
0.00273224043715847,36.032063
0.00546448087431694,36.025116
0.00819672131147541,36.03079
0.01092896174863388,36.042564
0.01366120218579235,36.0466
0.01639344262295082,36.048748
0.01912568306010929,36.048035
0.02185792349726776,36.046703
0.02459016393442623,36.042664
0.0273224043715847,36.04724
0.030054644808743168,36.053284
0.03278688524590164,36.053085
0.03551912568306011,36.042564
0.03825136612021858,36.046944
0.040983606557377046,36.04574
0.04371584699453552,36.04789
0.04644808743169399,36.04389
0.04918032786885246,36.02955
0.05191256830601093,36.04732
0.0546448087431694,36.054382
0.05737704918032787,36.05082
0.060109289617486336,36.050957
0.06284153005464481,36.056377
0.06557377049180328,36.05453
0.06830601092896176,36.05246
0.07103825136612021,36.04618
0.07377049180327869,36.04389
0.07650273224043716,36.04267
0.07923497267759563,36.042645
0.08196721311475409,36.04603
0.08469945355191257,36.04865
0.08743169398907104,36.064987
0.09016393442622951,36.057037
0.09289617486338798,36.056366
0.09562841530054644,36.05258
0.09836065573770492,36.055115
0.10109289617486339,36.055786
0.10382513661202186,36.04191
0.10655737704918032,36.046886
0.1092896174863388,36.050186
0.11202185792349727,36.051765
0.11475409836065574,36.045307
0.11748633879781421,36.050743
0.12021857923497267,36.058388
0.12295081967213115,36.05542
0.12568306010928962,36.036346
0.1284153005464481,36.03495
0.13114754098360656,36.03764
0.13387978142076504,36.046993
0.1366120218579235,36.036102
0.13934426229508196,36.027435
0.14207650273224043,36.02128
0.1448087431693989,36.03207
0.14754098360655737,36.01366
0.15027322404371585,36.013397
0.15300546448087432,36.021904
0.1557377049180328,36.0273
0.15846994535519127,36.015568
0.16120218579234974,36.014748
0.16393442622950818,36.015633
0.16666666666666666,36.018528
0.16939890710382513,35.99734
0.1721311475409836,35.99359
0.17486338797814208,36.013493
0.17759562841530055,35.99762
0.18032786885245902,35.995354
0.1830601092896175,36.00173
0.18579234972677597,35.992264
0.1885245901639344,35.979454
0.1912568306010929,35.986042
0.19398907103825136,35.977867
0.19672131147540983,35.98239
0.1994535519125683,35.972897
0.20218579234972678,35.96958
0.20491803278688525,35.9902
0.20765027322404372,35.985516
0.2103825136612022,35.981285
0.21311475409836064,35.968544
0.21584699453551912,35.950043
0.2185792349726776,35.955345
0.22131147540983606,35.952477
0.22404371584699453,35.958668
0.226775956284153,35.953606
0.22950819672131148,35.93944
0.23224043715846995,35.95213
0.23497267759562843,35.964252
0.23770491803278687,35.966946
0.24043715846994534,35.961227
0.24316939890710382,35.960175
0.2459016393442623,35.95232
0.24863387978142076,35.92784
0.25136612021857924,35.923943
0.2540983606557377,35.938004
0.2568306010928962,35.935734
0.25956284153005466,35.92455
0.26229508196721313,35.90736
0.2650273224043716,35.90714
0.2677595628415301,35.898537
0.27049180327868855,35.88082
0.273224043715847,35.894947
0.27595628415300544,35.901634
0.2786885245901639,35.879677
0.2814207650273224,35.862663
0.28415300546448086,35.87733
0.28688524590163933,35.86966
0.2896174863387978,35.85431
0.2923497267759563,35.844685
0.29508196721311475,35.836674
0.2978142076502732,35.839962
0.3005464480874317,35.84989
0.30327868852459017,35.846165
0.30601092896174864,35.839687
0.3087431693989071,35.842327
0.3114754098360656,35.838646
0.31420765027322406,35.820213
0.31693989071038253,35.81983
0.319672131147541,35.82037
0.3224043715846995,35.81492
0.3251366120218579,35.820408
0.32786885245901637,35.830635
0.33060109289617484,35.822327
0.3333333333333333,35.818108
0.3360655737704918,35.799957
0.33879781420765026,35.79919
0.34153005464480873,35.80268
0.3442622950819672,35.799244
0.3469945355191257,35.792824
0.34972677595628415,35.790527
0.3524590163934426,35.78582
0.3551912568306011,35.767353
0.35792349726775957,35.758842
0.36065573770491804,35.73809
0.3633879781420765,35.74574
0.366120218579235,35.727486
0.36885245901639346,35.736423
0.37158469945355194,35.74746
0.3743169398907104,35.758984
0.3770491803278688,35.755337
0.3797814207650273,35.754986
0.3825136612021858,35.753525
0.38524590163934425,35.74714
0.3879781420765027,35.7505
0.3907103825136612,35.74258
0.39344262295081966,35.730175
0.39617486338797814,35.735504
0.3989071038251366,35.737408
0.4016393442622951,35.740578
0.40437158469945356,35.743237
0.40710382513661203,35.73687
0.4098360655737705,35.740227
0.412568306010929,35.743237
0.41530054644808745,35.73524
0.4180327868852459,35.75625
0.4207650273224044,35.75614
0.42349726775956287,35.75696
0.4262295081967213,35.752354
0.42896174863387976,35.734596
0.43169398907103823,35.75098
0.4344262295081967,35.759766
0.4371584699453552,35.762157
0.43989071038251365,35.763947
0.4426229508196721,35.771393
0.4453551912568306,35.776066
0.44808743169398907,35.780266
0.45081967213114754,35.782555
0.453551912568306,35.779198
0.4562841530054645,35.778664
0.45901639344262296,35.7788
0.46174863387978143,35.783848
0.4644808743169399,35.78841
0.4672131147540984,35.79027
0.46994535519125685,35.791832
0.4726775956284153,35.793724
0.47540983606557374,35.795185
0.4781420765027322,35.797783
0.4808743169398907,35.802525
0.48360655737704916,35.804714
0.48633879781420764,35.80604
0.4890710382513661,35.808483
0.4918032786885246,35.81091
0.49453551912568305,35.81231
0.4972677595628415,35.815353
0.5,35.82126
0.5027322404371585,35.82483
0.505464480874317,35.827282
0.5081967213114754,35.829494
0.5109289617486339,35.833103
0.5136612021857924,35.837395
0.5163934426229508,35.839825
0.5191256830601093,35.842262
0.5218579234972678,35.846626
0.5245901639344263,35.851658
0.5273224043715847,35.853935
0.5300546448087432,35.855392
0.5327868852459017,35.8592
0.5355191256830601,35.862465
0.5382513661202186,35.86634
0.5409836065573771,35.869343
0.5437158469945356,35.87278
0.546448087431694,35.8778
