# year, Ztot_c_result_anom
1976.0409836065573,-3.8406303
1976.122950819672,-2.7683163
1976.204918032787,-1.4297295
1976.2868852459017,-0.7080183
1976.3715846994535,0.08598161
1976.4535519125684,2.956367
1976.5382513661202,3.490295
1976.622950819672,0.73832035
1976.704918032787,-5.954366
1976.7896174863388,-8.779016
1976.8715846994535,-6.262595
1976.9562841530055,-1.4128275
1977.041095890411,3.9694777
1977.1205479452055,3.9959998
1977.2027397260274,1.6841185
1977.2849315068493,0.97178125
1977.3698630136987,0.6362066
1977.4520547945206,-0.287045
1977.5369863013698,-1.28934
1977.6219178082192,-2.3982987
1977.704109589041,-0.9559355
1977.7890410958903,2.7959766
1977.8712328767124,0.099969864
1977.9561643835616,-2.954095
1978.041095890411,-2.281876
1978.1205479452055,-1.6004231
1978.2027397260274,-0.9151659
1978.2849315068493,-0.43186712
1978.3698630136987,-0.38146764
1978.4520547945206,0.18957758
1978.5369863013698,1.7638073
1978.6219178082192,1.7375479
1978.704109589041,0.6144371
1978.7890410958903,-0.5849819
1978.8712328767124,-1.288702
1978.9561643835616,-1.9527378
1979.041095890411,-1.0693784
1979.1205479452055,-0.8124678
1979.2027397260274,-0.47054088
1979.2849315068493,-0.1837914
1979.3698630136987,0.12129414
1979.4520547945206,-0.02279663
1979.5369863013698,-1.2060468
1979.6219178082192,-0.551177
1979.704109589041,-0.33041286
1979.7890410958903,-2.2557306
1979.8712328767124,-3.251257
1979.9561643835616,-2.9786558
1980.0409836065573,-2.0104141
1980.122950819672,-1.6830482
1980.204918032787,-1.0942909
1980.2868852459017,-0.60606223
1980.3715846994535,-0.32731915
1980.4535519125684,-0.3537562
1980.5382513661202,1.1675906
1980.622950819672,-2.0676055
1980.704918032787,-3.4318237
1980.7896174863388,-1.3342981
1980.8715846994535,-0.7393503
1980.9562841530055,-0.35721016
1981.041095890411,-0.50336933
1981.1205479452055,-0.7773366
1981.2027397260274,-0.48026645
1981.2849315068493,-0.34708482
1981.3698630136987,-0.6595992
1981.4520547945206,-1.6390207
1981.5369863013698,-2.1448796
1981.6219178082192,-3.1693501
1981.704109589041,-4.16516
1981.7890410958903,-3.0147524
1981.8712328767124,-1.7230453
1981.9561643835616,-0.56379986
1982.041095890411,-0.85801315
1982.1205479452055,-0.8740001
1982.2027397260274,-0.5144335
1982.2849315068493,-0.18423378
1982.3698630136987,-0.06884515
1982.4520547945206,-0.48397923
1982.5369863013698,-0.6632881
1982.6219178082192,-0.20645618
1982.704109589041,2.6118193
1982.7890410958903,1.9810104
1982.8712328767124,0.64196014
1982.9561643835616,-0.24637318
1983.041095890411,-0.36864614
1983.1205479452055,-0.56924224
