# year, O3_pH_clim
0.04371584699453552,8.168407
0.12568306010928962,8.148583
0.20491803278688525,8.133605
0.20765027322404372,8.123265
0.2896174863387978,8.1284685
0.2923497267759563,8.114062
0.37158469945355194,8.141593
0.3743169398907104,8.124252
0.4562841530054645,8.156244
0.45901639344262296,8.140449
0.5382513661202186,8.171096
0.5409836065573771,8.158
0.6229508196721312,8.180674
0.6256830601092896,8.168771
0.7076502732240437,8.179087
0.7103825136612022,8.174024
0.7896174863387978,8.176483
0.7923497267759563,8.177566
0.8743169398907104,8.185481
0.8770491803278688,8.174264
0.9562841530054644,8.187385
0.9590163934426229,8.175746
1.0437158469945356,8.168407
1.1256830601092895,8.148583
1.2049180327868854,8.133605
1.2076502732240437,8.123265
1.289617486338798,8.1284685
1.2923497267759563,8.114062
1.3715846994535519,8.141593
1.3743169398907105,8.124252
1.4562841530054644,8.156244
1.459016393442623,8.140449
1.5382513661202186,8.171096
1.540983606557377,8.158
1.6229508196721312,8.180674
1.6256830601092895,8.168771
1.7076502732240437,8.179087
1.710382513661202,8.174024
1.789617486338798,8.176483
1.7923497267759563,8.177566
1.8743169398907105,8.185481
1.8770491803278688,8.174264
1.9562841530054644,8.187385
1.959016393442623,8.175746
2.0437158469945356,8.168407
2.1256830601092895,8.148583
2.2049180327868854,8.133605
2.2076502732240435,8.123265
2.289617486338798,8.1284685
2.2923497267759565,8.114062
2.371584699453552,8.141593
2.3743169398907105,8.124252
2.4562841530054644,8.156244
2.459016393442623,8.140449
2.5382513661202184,8.171096
2.540983606557377,8.158
2.6229508196721314,8.180674
2.6256830601092895,8.168771
2.7076502732240435,8.179087
2.710382513661202,8.174024
2.789617486338798,8.176483
2.7923497267759565,8.177566
2.8743169398907105,8.185481
2.8770491803278686,8.174264
2.9562841530054644,8.187385
2.959016393442623,8.175746
3.0437158469945356,8.168407
3.1256830601092895,8.148583
3.2049180327868854,8.133605
3.2076502732240435,8.123265
3.289617486338798,8.1284685
3.2923497267759565,8.114062
3.371584699453552,8.141593
3.3743169398907105,8.124252
3.4562841530054644,8.156244
3.459016393442623,8.140449
3.5382513661202184,8.171096
3.540983606557377,8.158
3.6229508196721314,8.180674
3.6256830601092895,8.168771
3.7076502732240435,8.179087
3.710382513661202,8.174024
3.789617486338798,8.176483
3.7923497267759565,8.177566
3.8743169398907105,8.185481
3.8770491803278686,8.174264
3.9562841530054644,8.187385
3.959016393442623,8.175746
