# year, N3_n_anom
1976.0,-0.070481956
1976.0027322404371,-0.07053074
1976.0054644808743,-0.068500094
1976.0081967213114,-0.0675264
1976.0109289617487,-0.06772888
1976.0136612021859,-0.066436596
1976.016393442623,-0.06405333
1976.01912568306,-0.06315004
1976.0218579234972,-0.06242579
1976.0245901639344,-0.060271762
1976.0273224043715,-0.05987586
1976.0300546448088,-0.058474924
1976.032786885246,-0.056186568
1976.035519125683,-0.057615645
1976.0382513661202,-0.058237404
1976.0409836065573,-0.057158813
1976.0437158469945,-0.05516784
1976.0464480874316,-0.05345539
1976.049180327869,-0.054633543
1976.051912568306,-0.054128133
1976.0546448087432,-0.0522155
1976.0573770491803,-0.050070725
1976.0601092896175,-0.04855735
1976.0628415300546,-0.047790732
1976.0655737704917,-0.046390995
1976.068306010929,-0.044651292
1976.0710382513662,-0.043104306
1976.0737704918033,-0.041913867
1976.0765027322404,-0.040697053
1976.0792349726776,-0.038544852
1976.0819672131147,-0.036087386
1976.0846994535518,-0.037034273
1976.0874316939892,-0.037038
1976.0901639344263,-0.03679602
1976.0928961748634,-0.034985233
1976.0956284153006,-0.032611318
1976.0983606557377,-0.032001346
1976.1010928961748,-0.031412795
1976.103825136612,-0.028694853
1976.1065573770493,-0.026580632
1976.1092896174864,-0.025904343
1976.1120218579235,-0.025600746
1976.1147540983607,-0.023421366
1976.1174863387978,-0.02192799
1976.120218579235,-0.021086764
1976.122950819672,-0.019939616
1976.1256830601094,-0.019684825
1976.1284153005465,-0.018177558
1976.1311475409836,-0.01649686
1976.1338797814208,-0.015381828
1976.136612021858,-0.015096035
1976.139344262295,-0.015687767
1976.1420765027322,-0.014746923
1976.1448087431695,-0.01308655
1976.1475409836066,-0.011674903
1976.1502732240438,-0.011467017
1976.1530054644809,-0.010649696
1976.155737704918,-0.009541847
1976.1584699453551,-0.008970745
1976.1612021857923,-0.013557531
1976.1639344262296,-0.008564565
1976.1666666666667,-0.007889155
1976.1693989071039,-0.00739957
1976.172131147541,-0.0071013495
1976.1748633879781,-0.0061004683
1976.1775956284152,-0.0052713826
1976.1803278688524,-0.0054685622
1976.1830601092897,-0.0049433745
1976.1857923497269,-0.0043191537
1976.188524590164,-0.003490951
1976.191256830601,-0.002884347
1976.1939890710382,-0.0028319247
1976.1967213114754,-0.002299469
1976.1994535519125,-0.00198948
1976.2021857923498,-0.0015209354
1976.204918032787,-0.00022533536
1976.207650273224,0.00031210855
1976.2103825136612,0.0001244247
1976.2131147540983,0.00082241
1976.2158469945355,0.0012643561
1976.2185792349726,0.0017794296
1976.22131147541,0.0022448748
1976.224043715847,0.002406817
1976.2267759562842,0.0029471219
1976.2295081967213,0.002713468
1976.2322404371585,0.0028464943
1976.2349726775956,0.0030336082
1976.2377049180327,0.0034099594
1976.24043715847,0.003617689
1976.2431693989072,0.0036092252
1976.2459016393443,0.0038753003
1976.2486338797814,0.0033012666
1976.2513661202186,0.0035222173
1976.2540983606557,0.0034086555
1976.2568306010928,0.0033545196
1976.25956284153,0.0036072247
1976.2622950819673,0.0035793595
1976.2650273224044,0.0035801157
1976.2677595628415,0.0039279535
1976.2704918032787,0.0039817467
1976.2732240437158,0.003937643
1976.275956284153,0.0040512346
1976.27868852459,0.004418757
1976.2814207650274,0.0046721697
1976.2841530054645,0.0045460463
1976.2868852459017,0.00376755
1976.2896174863388,0.002993565
1976.292349726776,0.0026885495
1976.295081967213,0.0021774024
1976.2978142076502,0.0014605373
1976.3005464480875,0.00017840788
1976.3032786885246,-0.00045471638
1976.3060109289618,-0.0002399981
1976.308743169399,-0.0005928278
1976.311475409836,-0.0013274215
1976.3142076502731,-0.0017037354
1976.3169398907103,-0.0013284832
1976.3196721311476,-0.0008270703
1976.3224043715848,-0.0011277385
1976.3251366120219,-0.0020132102
1976.327868852459,-0.0025729425
1976.3306010928961,-0.0026414543
1976.3333333333333,-0.0024189241
1976.3360655737704,-0.0016975217
1976.3387978142077,-0.0011952743
1976.3415300546449,-0.001348637
1976.344262295082,-0.0011781715
1976.3469945355191,0.0008211024
1976.3497267759562,0.0056512915
1976.3524590163934,0.008185435
1976.3551912568305,0.008868262
1976.3579234972678,0.008692492
1976.360655737705,0.008515406
1976.363387978142,0.0083829835
1976.3661202185792,0.007591419
1976.3688524590164,0.007059153
1976.3715846994535,0.0073059425
1976.3743169398906,0.010286473
1976.377049180328,0.015816897
1976.379781420765,0.01904283
1976.3825136612022,0.02091536
1976.3852459016393,0.023892093
1976.3879781420765,0.024746638
1976.3907103825136,0.02577665
1976.3934426229507,0.024164833
1976.396174863388,0.022157855
1976.3989071038252,0.021302413
1976.4016393442623,0.019626748
1976.4043715846994,0.016997766
1976.4071038251366,0.015916046
1976.4098360655737,0.015133027
1976.4125683060108,0.013437811
1976.4153005464482,0.03375624
1976.4180327868853,0.045833763
1976.4207650273224,0.07637367
1976.4234972677596,0.14022274
1976.4262295081967,0.19756758
1976.4289617486338,0.23698485
1976.431693989071,0.2611605
1976.4344262295083,0.31991708
1976.4371584699454,0.33291513
1976.4398907103825,0.3301581
1976.4426229508197,0.29133746
1976.4453551912568,0.28035426
1976.448087431694,0.28315005
1976.450819672131,0.2762952
1976.4535519125684,0.25710952
1976.4562841530055,0.23479128
1976.4590163934427,0.21205717
1976.4617486338798,0.1995293
1976.464480874317,0.20050399
1976.467213114754,0.1958576
1976.4699453551912,0.1900109
1976.4726775956285,0.1955789
1976.4754098360656,0.1987248
1976.4781420765028,0.21999028
1976.48087431694,0.23394324
1976.483606557377,0.23336232
1976.4863387978141,0.22848815
