# year, Ptot_c_result
1976.0409836065573,2.883267
1976.122950819672,1.905506
1976.204918032787,2.4707446
1976.2868852459017,3.6738815
1976.3715846994535,11.090897
1976.4535519125684,30.370405
1976.5382513661202,30.105417
1976.622950819672,28.622229
1976.704918032787,22.156488
1976.7896174863388,18.26929
1976.8715846994535,14.967956
1976.9562841530055,17.268614
1977.041095890411,15.735424
1977.1205479452055,12.291687
1977.2027397260274,7.547408
1977.2849315068493,5.6639166
1977.3698630136987,5.7147107
1977.4520547945206,7.795179
1977.5369863013698,12.389062
1977.6219178082192,17.450739
1977.704109589041,27.04153
1977.7890410958903,35.422264
1977.8712328767124,25.481337
1977.9561643835616,11.809641
1978.041095890411,6.4177537
1978.1205479452055,4.4808884
1978.2027397260274,3.2768636
1978.2849315068493,3.1767564
1978.3698630136987,3.67999
1978.4520547945206,8.112735
1978.5369863013698,16.050383
1978.6219178082192,22.73032
1978.704109589041,29.017408
1978.7890410958903,28.527996
1978.8712328767124,23.015415
1978.9561643835616,13.795014
1979.041095890411,8.309726
1979.1205479452055,5.2139845
1979.2027397260274,3.7466235
1979.2849315068493,3.2547133
1979.3698630136987,4.489098
1979.4520547945206,7.0885963
1979.5369863013698,11.078595
1979.6219178082192,21.26997
1979.704109589041,29.861612
1979.7890410958903,28.962873
1979.8712328767124,20.52693
1979.9561643835616,11.8536415
1980.0409836065573,6.7671647
1980.122950819672,4.2399197
1980.204918032787,3.214859
1980.2868852459017,3.201539
1980.3715846994535,4.468548
1980.4535519125684,8.941849
1980.5382513661202,16.502327
1980.622950819672,16.862003
1980.704918032787,21.274448
1980.7896174863388,26.539373
1980.8715846994535,22.8337
1980.9562841530055,16.318436
1981.041095890411,8.888135
1981.1205479452055,5.2098255
1981.2027397260274,3.6888285
1981.2849315068493,3.1626601
1981.3698630136987,3.6130242
1981.4520547945206,5.406282
1981.5369863013698,10.770092
1981.6219178082192,15.539208
1981.704109589041,22.688591
1981.7890410958903,27.584877
1981.8712328767124,23.15034
1981.9561643835616,14.477469
1982.041095890411,7.6489615
1982.1205479452055,4.543638
1982.2027397260274,3.04538
1982.2849315068493,2.695909
1982.3698630136987,3.7279718
1982.4520547945206,6.6658406
1982.5369863013698,11.590047
1982.6219178082192,20.91137
1982.704109589041,32.444744
1982.7890410958903,34.0782
1982.8712328767124,26.000774
1982.9561643835616,15.172141
1983.041095890411,8.990903
1983.1205479452055,5.4385467
1983.2027397260274,3.5387485
1983.2849315068493,2.8713102
1983.3698630136987,3.4216821
1983.4520547945206,6.242704
1983.5369863013698,11.10696
1983.6219178082192,22.570808
1983.704109589041,36.160374
1983.7890410958903,37.632435
1983.8712328767124,34.053448
1983.9561643835616,27.194124
1984.0409836065573,18.003727
1984.122950819672,12.86637
1984.204918032787,8.24092
1984.2868852459017,3.9498355
1984.3715846994535,3.4592273
1984.4535519125684,4.8462844
1984.5382513661202,11.181448
1984.622950819672,21.42349
1984.704918032787,31.710844
1984.7896174863388,38.229973
1984.8715846994535,33.43431
1984.9562841530055,18.668533
1985.041095890411,10.067371
1985.1205479452055,6.212364
1985.2027397260274,4.177994
1985.2849315068493,3.1218522
1985.3698630136987,4.1016912
1985.4520547945206,8.467735
1985.5369863013698,12.25181
1985.6219178082192,24.695004
1985.704109589041,33.396603
1985.7890410958903,32.495323
1985.8712328767124,22.954042
1985.9561643835616,15.096724
1986.041095890411,8.940882
1986.1205479452055,5.1774178
