# year, so_abs_anom
1976.0,0.37525558
1976.0027322404371,0.381382
1976.0054644808743,0.38220978
1976.0081967213114,0.37683868
1976.0109289617487,0.37216187
1976.0136612021859,0.36386108
1976.016393442623,0.3517456
1976.01912568306,0.34713364
1976.0218579234972,0.33690262
1976.0245901639344,0.33665085
1976.0273224043715,0.32831573
1976.0300546448088,0.336071
1976.032786885246,0.3455162
1976.035519125683,0.33501816
1976.0382513661202,0.3417015
1976.0409836065573,0.334877
1976.0437158469945,0.26791382
1976.0464480874316,0.20716858
1976.049180327869,0.2787285
1976.051912568306,0.2852173
1976.0546448087432,0.28469467
1976.0573770491803,0.28788757
1976.0601092896175,0.2866211
1976.0628415300546,0.29150772
1976.0655737704917,0.2883377
1976.068306010929,0.28736877
1976.0710382513662,0.3000641
1976.0737704918033,0.2809868
1976.0765027322404,0.29122543
1976.0792349726776,0.29157257
1976.0819672131147,0.3037033
1976.0846994535518,0.40273285
1976.0874316939892,0.4120636
1976.0901639344263,0.41728592
1976.0928961748634,0.4139595
1976.0956284153006,0.41176224
1976.0983606557377,0.42481232
1976.1010928961748,0.44077682
1976.103825136612,0.43783188
1976.1065573770493,0.43972015
1976.1092896174864,0.42763138
1976.1120218579235,0.42538834
1976.1147540983607,0.36413193
1976.1174863387978,0.3399849
1976.120218579235,0.2950554
1976.122950819672,0.36439514
1976.1256830601094,0.39924622
1976.1284153005465,0.39694214
1976.1311475409836,0.3878708
1976.1338797814208,0.33434677
1976.136612021858,0.31552124
1976.139344262295,0.3879013
1976.1420765027322,0.3904419
1976.1448087431695,0.39107513
1976.1475409836066,0.3907547
1976.1502732240438,0.38204956
1976.1530054644809,0.34188843
1976.155737704918,0.2088852
1976.1584699453551,0.3406105
1976.1612021857923,0.22563553
1976.1639344262296,0.45645142
1976.1666666666667,0.42733383
1976.1693989071039,0.44916153
1976.172131147541,0.4734764
1976.1748633879781,0.41937637
1976.1775956284152,0.45298004
1976.1803278688524,0.47077942
1976.1830601092897,0.47023773
1976.1857923497269,0.408844
1976.188524590164,0.4560585
1976.191256830601,0.48122025
1976.1939890710382,0.49881744
1976.1967213114754,0.4925232
1976.1994535519125,0.48247147
1976.2021857923498,0.50292206
1976.204918032787,0.48828125
1976.207650273224,0.49746323
1976.2103825136612,0.5025177
1976.2131147540983,0.46686172
1976.2158469945355,0.46051788
1976.2185792349726,0.49460983
1976.22131147541,0.4873581
1976.224043715847,0.4684639
1976.2267759562842,0.46312714
1976.2295081967213,0.509758
1976.2322404371585,0.48921204
1976.2349726775956,0.48064804
1976.2377049180327,0.4717636
1976.24043715847,0.46285248
1976.2431693989072,0.4766693
1976.2459016393443,0.47809982
1976.2486338797814,0.50860596
1976.2513661202186,0.48580933
1976.2540983606557,0.44550323
1976.2568306010928,0.43162537
1976.25956284153,0.47446442
1976.2622950819673,0.50032043
1976.2650273224044,0.45626068
1976.2677595628415,0.4840393
1976.2704918032787,0.49198914
1976.2732240437158,0.5013313
1976.275956284153,0.5078888
1976.27868852459,0.52041626
1976.2814207650274,0.5241661
1976.2841530054645,0.4718094
1976.2868852459017,0.46294403
1976.2896174863388,0.53004074
1976.292349726776,0.5338249
1976.295081967213,0.50268173
1976.2978142076502,0.5588913
1976.3005464480875,0.55311966
1976.3032786885246,0.53878784
1976.3060109289618,0.5372238
1976.308743169399,0.5561676
1976.311475409836,0.5799103
1976.3142076502731,0.5802269
1976.3169398907103,0.5734558
1976.3196721311476,0.5753021
1976.3224043715848,0.5711365
1976.3251366120219,0.54893494
1976.327868852459,0.52322006
1976.3306010928961,0.5554657
1976.3333333333333,0.5782242
1976.3360655737704,0.5555649
1976.3387978142077,0.5655556
1976.3415300546449,0.5744591
1976.344262295082,0.58407974
1976.3469945355191,0.5913315
1976.3497267759562,0.59049225
1976.3524590163934,0.541893
1976.3551912568305,0.54480743
1976.3579234972678,0.5498848
1976.360655737705,0.5839691
1976.363387978142,0.55038834
1976.3661202185792,0.58943176
1976.3688524590164,0.5801811
1976.3715846994535,0.56301117
1976.3743169398906,0.5455246
1976.377049180328,0.53032684
1976.379781420765,0.50139236
1976.3825136612022,0.43688583
1976.3852459016393,0.4633255
