# year, O3_TA
1976.0,2438.6404
1976.0027322404371,2439.0002
1976.0054644808743,2439.6145
1976.0081967213114,2440.202
1976.0109289617487,2440.016
1976.0136612021859,2439.6038
1976.016393442623,2438.8718
1976.01912568306,2438.5024
1976.0218579234972,2437.5513
1976.0245901639344,2437.7554
1976.0273224043715,2437.6213
1976.0300546448088,2438.169
1976.032786885246,2438.0515
1976.035519125683,2437.7256
1976.0382513661202,2438.228
1976.0409836065573,2437.7642
1976.0437158469945,2432.8772
1976.0464480874316,2427.847
1976.049180327869,2434.099
1976.051912568306,2435.0732
1976.0546448087432,2434.563
1976.0573770491803,2434.8855
1976.0601092896175,2435.203
1976.0628415300546,2435.3123
1976.0655737704917,2434.8298
1976.068306010929,2434.2358
1976.0710382513662,2435.1785
1976.0737704918033,2433.8591
1976.0765027322404,2434.2795
1976.0792349726776,2434.603
1976.0819672131147,2435.6047
1976.0846994535518,2435.4978
1976.0874316939892,2435.6443
1976.0901639344263,2436.0322
1976.0928961748634,2435.439
1976.0956284153006,2435.6624
1976.0983606557377,2436.7463
1976.1010928961748,2436.5671
1976.103825136612,2436.6975
1976.1065573770493,2437.44
1976.1092896174864,2436.651
1976.1120218579235,2436.0903
1976.1147540983607,2432.3865
1976.1174863387978,2431.2478
1976.120218579235,2428.1511
1976.122950819672,2431.5312
1976.1256830601094,2433.847
1976.1284153005465,2433.9253
1976.1311475409836,2434.084
1976.1338797814208,2429.935
1976.136612021858,2428.0251
1976.139344262295,2432.627
1976.1420765027322,2433.544
1976.1448087431695,2432.451
1976.1475409836066,2432.6282
1976.1502732240438,2432.6033
1976.1530054644809,2430.0051
1976.155737704918,2420.385
1976.1584699453551,2429.4148
1976.1612021857923,2431.0483
1976.1639344262296,2432.71
1976.1666666666667,2430.3206
1976.1693989071039,2430.2883
1976.172131147541,2432.5986
1976.1748633879781,2429.3835
1976.1775956284152,2430.3816
1976.1803278688524,2432.898
1976.1830601092897,2433.276
1976.1857923497269,2428.0916
1976.188524590164,2430.7576
1976.191256830601,2433.1882
1976.1939890710382,2433.7522
1976.1967213114754,2433.1157
1976.1994535519125,2432.6128
1976.2021857923498,2433.7603
1976.204918032787,2434.3542
1976.207650273224,2434.3604
1976.2103825136612,2433.8079
1976.2131147540983,2430.1462
1976.2158469945355,2429.4456
1976.2185792349726,2432.029
1976.22131147541,2432.3772
1976.224043715847,2430.8083
1976.2267759562842,2429.4185
1976.2295081967213,2433.3274
1976.2322404371585,2432.379
