# year, O3_c
1976.0,2091.7812
1976.0027322404371,2092.2585
1976.0054644808743,2092.8274
1976.0081967213114,2093.5168
1976.0109289617487,2093.7078
1976.0136612021859,2093.721
1976.016393442623,2093.4856
1976.01912568306,2093.755
1976.0218579234972,2093.5647
1976.0245901639344,2094.2007
1976.0273224043715,2094.3088
1976.0300546448088,2095.08
1976.032786885246,2095.3867
1976.035519125683,2095.576
1976.0382513661202,2096.5537
1976.0409836065573,2096.8232
1976.0437158469945,2093.264
1976.0464480874316,2089.3308
1976.049180327869,2095.0757
1976.051912568306,2096.6382
1976.0546448087432,2096.9849
1976.0573770491803,2097.5261
1976.0601092896175,2098.0686
1976.0628415300546,2098.654
1976.0655737704917,2098.8115
1976.068306010929,2098.7073
1976.0710382513662,2099.6538
1976.0737704918033,2098.918
1976.0765027322404,2099.8533
1976.0792349726776,2100.3416
1976.0819672131147,2101.308
1976.0846994535518,2101.596
1976.0874316939892,2102.1348
1976.0901639344263,2103.019
1976.0928961748634,2102.8604
1976.0956284153006,2102.972
1976.0983606557377,2104.266
1976.1010928961748,2104.9097
1976.103825136612,2105.205
1976.1065573770493,2105.7239
1976.1092896174864,2105.2925
1976.1120218579235,2105.1006
1976.1147540983607,2102.0947
1976.1174863387978,2101.2124
1976.120218579235,2098.9138
1976.122950819672,2102.238
1976.1256830601094,2104.8027
1976.1284153005465,2104.981
1976.1311475409836,2104.896
1976.1338797814208,2101.3152
1976.136612021858,2100.274
1976.139344262295,2105.2866
1976.1420765027322,2106.6816
1976.1448087431695,2105.288
1976.1475409836066,2104.666
1976.1502732240438,2105.4536
1976.1530054644809,2104.1204
1976.155737704918,2095.8281
1976.1584699453551,2103.3948
1976.1612021857923,2105.0088
1976.1639344262296,2106.414
1976.1666666666667,2104.467
1976.1693989071039,2104.6523
1976.172131147541,2107.2183
1976.1748633879781,2104.712
1976.1775956284152,2105.3179
1976.1803278688524,2107.5913
1976.1830601092897,2108.6384
1976.1857923497269,2104.3804
1976.188524590164,2106.2485
1976.191256830601,2108.8738
1976.1939890710382,2110.4365
1976.1967213114754,2110.0044
1976.1994535519125,2109.593
1976.2021857923498,2110.7332
1976.204918032787,2110.8306
1976.207650273224,2111.3164
1976.2103825136612,2111.906
1976.2131147540983,2108.6194
1976.2158469945355,2107.7368
1976.2185792349726,2110.0503
1976.22131147541,2110.5757
1976.224043715847,2109.0542
1976.2267759562842,2107.2803
1976.2295081967213,2111.043
1976.2322404371585,2111.1882
1976.2349726775956,2111.0366
1976.2377049180327,2109.7783
1976.24043715847,2108.527
1976.2431693989072,2109.8484
1976.2459016393443,2109.32
1976.2486338797814,2109.9104
1976.2513661202186,2108.7852
1976.2540983606557,2107.5706
1976.2568306010928,2107.309
1976.25956284153,2109.3076
1976.2622950819673,2109.7295
1976.2650273224044,2106.703
1976.2677595628415,2107.2925
1976.2704918032787,2109.0298
1976.2732240437158,2110.0386
1976.275956284153,2110.053
