# year, vo_anom
1976.0,-0.015061561
1976.0027322404371,-0.0031195693
1976.0054644808743,0.110736825
1976.0081967213114,0.0253464
1976.0109289617487,-0.014202826
1976.0136612021859,0.044087864
1976.016393442623,-0.03964363
1976.01912568306,-0.05098322
1976.0218579234972,-0.02155317
1976.0245901639344,-0.025334746
1976.0273224043715,0.07064101
1976.0300546448088,0.05807919
1976.032786885246,0.022248613
1976.035519125683,0.05140675
1976.0382513661202,-0.053451076
1976.0409836065573,-0.0806529
1976.0437158469945,-0.026614353
1976.0464480874316,0.092264235
1976.049180327869,0.11551382
1976.051912568306,-0.02584587
1976.0546448087432,-0.012379713
1976.0573770491803,0.013118224
1976.0601092896175,0.030409586
1976.0628415300546,0.013767926
1976.0655737704917,-0.08795059
1976.068306010929,0.004996307
1976.0710382513662,0.076063566
1976.0737704918033,-0.07260302
1976.0765027322404,-0.032365054
1976.0792349726776,-0.0067614964
1976.0819672131147,-0.02052863
1976.0846994535518,0.030904315
1976.0874316939892,0.0835785
1976.0901639344263,-0.011241239
1976.0928961748634,0.0060971454
1976.0956284153006,0.15002346
1976.0983606557377,0.06297145
1976.1010928961748,-0.094117895
1976.103825136612,0.044444773
1976.1065573770493,0.015560172
1976.1092896174864,-0.06772933
1976.1120218579235,-0.017207868
1976.1147540983607,-0.10735207
1976.1174863387978,-0.033266306
1976.120218579235,0.047724742
1976.122950819672,0.0078134835
1976.1256830601094,-0.049603827
1976.1284153005465,-0.12804025
1976.1311475409836,-0.0058362773
1976.1338797814208,0.01780423
1976.136612021858,0.109305486
1976.139344262295,0.081151806
1976.1420765027322,-0.13133332
1976.1448087431695,-0.12234001
1976.1475409836066,0.10313471
1976.1502732240438,0.021793572
1976.1530054644809,-0.09326797
1976.155737704918,0.0071787573
1976.1584699453551,0.05979858
1976.1612021857923,-0.10942049
1976.1639344262296,-0.012839381
1976.1666666666667,0.071928315
1976.1693989071039,0.14326474
1976.172131147541,-0.049169116
1976.1748633879781,-0.1497075
1976.1775956284152,0.13710609
1976.1803278688524,0.056386996
1976.1830601092897,-0.112579435
1976.1857923497269,0.003803581
1976.188524590164,0.14740764
1976.191256830601,0.094519876
1976.1939890710382,0.016299374
1976.1967213114754,0.09967234
1976.1994535519125,0.013301766
