# year, N3_n_clim
0.8060109289617486,0.5259007
0.8087431693989071,0.51747596
0.8114754098360656,0.50451636
0.8142076502732241,0.4899416
0.8169398907103825,0.4818326
0.819672131147541,0.4770123
0.8224043715846995,0.4716583
0.825136612021858,0.4573501
0.8278688524590164,0.43612513
0.8306010928961749,0.42363912
0.8333333333333334,0.4159066
0.8360655737704918,0.40958485
0.8387978142076503,0.40809822
0.8415300546448088,0.4035128
0.8442622950819673,0.39069527
0.8469945355191257,0.37728903
0.8497267759562842,0.36883584
0.8524590163934426,0.35801816
0.855191256830601,0.34917492
0.8579234972677595,0.34452912
0.860655737704918,0.33842137
0.8633879781420765,0.32515275
0.8661202185792349,0.31331593
0.8688524590163934,0.31051117
0.8715846994535519,0.30492264
0.8743169398907104,0.2880891
0.8770491803278688,0.27553073
0.8797814207650273,0.26696774
0.8825136612021858,0.25359854
0.8852459016393442,0.24294937
0.8879781420765027,0.23530367
0.8907103825136612,0.22528291
0.8934426229508197,0.21551195
0.8961748633879781,0.20940797
0.8989071038251366,0.20306316
0.9016393442622951,0.1988977
0.9043715846994536,0.19472077
0.907103825136612,0.18736981
0.9098360655737705,0.18202242
0.912568306010929,0.17951958
0.9153005464480874,0.17783242
0.9180327868852459,0.17177458
0.9207650273224044,0.16649953
0.9234972677595629,0.16486534
0.9262295081967213,0.16314761
0.9289617486338798,0.15858981
0.9316939890710383,0.15599857
0.9344262295081968,0.15456839
0.9371584699453552,0.15043887
0.9398907103825137,0.14616111
0.9426229508196722,0.14388965
0.9453551912568307,0.14049016
0.9480874316939891,0.13909209
0.9508196721311475,0.13702069
0.953551912568306,0.13609144
0.9562841530054644,0.1339908
0.9590163934426229,0.1313212
0.9617486338797814,0.12873724
0.9644808743169399,0.12536058
0.9672131147540983,0.1228866
0.9699453551912568,0.118664965
0.9726775956284153,0.114380375
0.9754098360655737,0.11298231
0.9781420765027322,0.11302438
0.9808743169398907,0.110750005
0.9836065573770492,0.108173765
0.9863387978142076,0.1053187
0.9890710382513661,0.10282626
0.9918032786885246,0.10137485
0.994535519125683,0.10044024
0.9972677595628415,0.098401636
1.0,0.11983038
1.0027322404371584,0.089173995
1.005464480874317,0.08707607
1.0081967213114753,0.08572635
1.010928961748634,0.08475298
1.0136612021857923,0.08441337
1.0163934426229508,0.083398275
1.0191256830601092,0.08164765
1.0218579234972678,0.08041294
1.0245901639344261,0.080121376
1.0273224043715847,0.07902144
1.030054644808743,0.07868548
1.0327868852459017,0.07790293
1.03551912568306,0.076267675
1.0382513661202186,0.07527822
1.040983606557377,0.07478633
1.0437158469945356,0.07459489
1.046448087431694,0.07383332
1.0491803278688525,0.07304899
1.0519125683060109,0.073133506
1.0546448087431695,0.07194396
1.0573770491803278,0.07106936
