# year, O3_pH_anom
1976.0409836065573,-0.03415966
1976.122950819672,-0.042817116
1976.204918032787,-0.041409492
1976.2868852459017,-0.03854561
1976.3715846994535,-0.032375336
1976.4535519125684,-0.026493073
1976.5382513661202,-0.022883415
1976.622950819672,-0.017988205
1976.704918032787,-0.006834984
1976.7896174863388,0.00037288666
1976.8715846994535,-0.015838623
1976.9562841530055,-0.026286125
1977.041095890411,-0.021434784
1977.1205479452055,-0.012077332
1977.2027397260274,-0.003643036
1977.2849315068493,0.0028600693
1977.3698630136987,0.015586853
1977.4520547945206,0.009955406
1977.5369863013698,0.012562752
1977.6219178082192,0.011005402
1977.704109589041,0.0037374496
1977.7890410958903,-0.0026807785
1977.8712328767124,0.009212494
1977.9561643835616,0.0072278976
1978.041095890411,0.0014410019
1978.1205479452055,0.0037670135
1978.2027397260274,0.0025396347
1978.2849315068493,0.008280754
1978.3698630136987,0.014032364
1978.4520547945206,0.019897461
1978.5369863013698,0.020119667
1978.6219178082192,0.016374588
1978.704109589041,0.016573906
1978.7890410958903,0.015781403
1978.8712328767124,0.012600899
1978.9561643835616,0.0077085495
1979.041095890411,0.010879517
1979.1205479452055,0.00885582
1979.2027397260274,0.010150909
1979.2849315068493,0.011891365
1979.3698630136987,0.013753891
1979.4520547945206,0.015841484
1979.5369863013698,0.009121895
1979.6219178082192,0.0010347366
1979.704109589041,0.0023536682
1979.7890410958903,-0.0018663406
1979.8712328767124,0.002289772
1979.9561643835616,-0.0031881332
1980.0409836065573,-0.00433445
1980.122950819672,-0.007902145
1980.204918032787,-0.01247406
1980.2868852459017,-0.014615059
1980.3715846994535,-0.012561798
1980.4535519125684,-0.0037441254
1980.5382513661202,0.0032196045
1980.622950819672,0.00057697296
1980.704918032787,0.0038375854
1980.7896174863388,0.0053100586
1980.8715846994535,-7.43866e-05
1980.9562841530055,-0.004593849
1981.041095890411,-0.0010852814
1981.1205479452055,-0.004860878
1981.2027397260274,-0.007669449
1981.2849315068493,-0.008829117
1981.3698630136987,-0.013973236
1981.4520547945206,-0.012948036
1981.5369863013698,-0.010181427
1981.6219178082192,-0.008322716
1981.704109589041,-0.002120018
1981.7890410958903,-0.00016403198
1981.8712328767124,-0.0021419525
1981.9561643835616,-0.0011339188
1982.041095890411,0.0016517639
1982.1205479452055,-0.0017023087
1982.2027397260274,-0.0051431656
1982.2849315068493,-0.0017852783
1982.3698630136987,-0.0016775131
1982.4520547945206,-0.004009247
1982.5369863013698,-0.003809929
1982.6219178082192,-0.0030794144
1982.704109589041,-0.0065870285
1982.7890410958903,-0.0052137375
1982.8712328767124,-0.004003525
1982.9561643835616,-0.0010585785
1983.041095890411,0.0066633224
1983.1205479452055,0.0059280396
1983.2027397260274,0.0037250519
1983.2849315068493,0.0043382645
1983.3698630136987,-0.00058078766
1983.4520547945206,-0.0007762909
1983.5369863013698,-0.0030431747
1983.6219178082192,-0.00077438354
1983.704109589041,-0.005671501
1983.7890410958903,-0.009552956
1983.8712328767124,-0.0033693314
1983.9561643835616,0.005484581
1984.0409836065573,0.020017624
1984.122950819672,0.028730392
1984.204918032787,0.032169342
1984.2868852459017,0.022911072
1984.3715846994535,0.008525848
1984.4535519125684,-0.0029335022
1984.5382513661202,-0.007832527
1984.622950819672,-0.007586479
1984.704918032787,-0.0076351166
1984.7896174863388,-0.003411293
1984.8715846994535,-0.0076446533
1984.9562841530055,0.006439209
1985.041095890411,0.020356178
