# year, Ztot_c_result
1976.0409836065573,3.341698
1976.122950819672,1.6561848
1976.204918032787,0.97676486
1976.2868852459017,0.54269624
1976.3715846994535,1.203248
1976.4535519125684,5.372184
1976.5382513661202,8.353966
1976.622950819672,9.6020155
1976.704918032787,7.8018165
1976.7896174863388,8.491319
1976.8715846994535,9.789853
1976.9562841530055,10.052835
1977.041095890411,11.151806
1977.1205479452055,8.420501
1977.2027397260274,4.090613
1977.2849315068493,2.2224958
1977.3698630136987,1.753473
1977.4520547945206,2.1287718
1977.5369863013698,3.5743308
1977.6219178082192,6.4653964
1977.704109589041,12.800247
1977.7890410958903,20.06631
1977.8712328767124,16.152418
1977.9561643835616,8.511568
1978.041095890411,4.900452
1978.1205479452055,2.8240778
1978.2027397260274,1.4913285
1978.2849315068493,0.8188474
1978.3698630136987,0.7357988
1978.4520547945206,2.6053944
1978.5369863013698,6.627478
1978.6219178082192,10.601243
1978.704109589041,14.37062
1978.7890410958903,16.685352
1978.8712328767124,14.763746
1978.9561643835616,9.512925
1979.041095890411,6.11295
1979.1205479452055,3.6120331
1979.2027397260274,1.9359535
1979.2849315068493,1.0669231
1979.3698630136987,1.2385606
1979.4520547945206,2.3930202
1979.5369863013698,3.657624
1979.6219178082192,8.312518
1979.704109589041,13.42577
1979.7890410958903,15.014604
1979.8712328767124,12.801191
1979.9561643835616,8.487007
1980.0409836065573,5.171914
1980.122950819672,2.7414527
1980.204918032787,1.3122035
1980.2868852459017,0.6446523
1980.3715846994535,0.7899473
1980.4535519125684,2.0620606
1980.5382513661202,6.0312614
1980.622950819672,6.7960896
1980.704918032787,10.324359
1980.7896174863388,15.936036
1980.8715846994535,15.313098
1980.9562841530055,11.108453
1981.041095890411,6.678959
1981.1205479452055,3.6471643
1981.2027397260274,1.9262279
1981.2849315068493,0.9036297
1981.3698630136987,0.4576672
1981.4520547945206,0.77679604
1981.5369863013698,2.7187912
1981.6219178082192,5.694345
1981.704109589041,9.5910225
1981.7890410958903,14.255582
1981.8712328767124,14.329403
1981.9561643835616,10.901863
1982.041095890411,6.324315
1982.1205479452055,3.5505009
1982.2027397260274,1.8920609
1982.2849315068493,1.0664808
1982.3698630136987,1.0484213
1982.4520547945206,1.9318376
1982.5369863013698,4.2003827
1982.6219178082192,8.657239
1982.704109589041,16.368002
1982.7890410958903,19.251345
1982.8712328767124,16.694408
1982.9561643835616,11.21929
1983.041095890411,6.813682
1983.1205479452055,3.8552587
1983.2027397260274,2.1113486
1983.2849315068493,1.0863919
1983.3698630136987,0.98708993
1983.4520547945206,1.9407624
1983.5369863013698,4.3290424
1983.6219178082192,10.844244
1983.704109589041,18.734741
1983.7890410958903,21.365847
1983.8712328767124,22.209682
1983.9561643835616,18.992374
1984.0409836065573,13.021624
1984.122950819672,8.677517
1984.204918032787,5.188962
1984.2868852459017,2.3259473
1984.3715846994535,1.3201237
1984.4535519125684,1.6520412
1984.5382513661202,3.724107
1984.622950819672,9.666168
1984.704918032787,15.603864
1984.7896174863388,21.747492
1984.8715846994535,22.557564
1984.9562841530055,14.442857
1985.041095890411,8.305883
1985.1205479452055,5.260324
1985.2027397260274,3.139483
1985.2849315068493,1.8290803
1985.3698630136987,1.6383342
1985.4520547945206,3.2952998
1985.5369863013698,5.4197288
1985.6219178082192,11.997692
1985.704109589041,18.541378
1985.7890410958903,19.889448
1985.8712328767124,15.9131365
1985.9561643835616,11.427461
1986.041095890411,7.4140735
1986.1205479452055,4.264908
1986.2027397260274,2.2145014
1986.2849315068493,0.8268084
1986.3698630136987,0.55411637
1986.4520547945206,1.2890823
1986.5369863013698,2.2567208
1986.6219178082192,4.53144
1986.704109589041,12.11053
1986.7890410958903,17.629614
1986.8712328767124,18.48243
1986.9561643835616,13.488858
1987.041095890411,7.982227
1987.1205479452055,4.711744
1987.2027397260274,2.4950216
1987.2849315068493,1.2542773
1987.3698630136987,0.90570575
1987.4520547945206,2.7242022
1987.5369863013698,6.46628
1987.6219178082192,7.9602313
1987.704109589041,13.589097
1987.7890410958903,16.82114
1987.8712328767124,16.399023
1987.9561643835616,14.64634
1988.0409836065573,9.044557
1988.122950819672,4.674924
1988.204918032787,2.2946825
1988.2868852459017,1.1752545
1988.3715846994535,1.0193986
1988.4535519125684,1.2642416
1988.5382513661202,3.7001336
1988.622950819672,9.015311
1988.704918032787,13.288485
1988.7896174863388,15.97562
1988.8715846994535,16.46819
1988.9562841530055,12.99595
1989.041095890411,8.6862
1989.1205479452055,4.854977
1989.2027397260274,2.3418045
1989.2849315068493,1.1710563
1989.3698630136987,1.0871165
1989.4520547945206,2.1600091
1989.5369863013698,6.714644
1989.6219178082192,10.245159
1989.704109589041,11.633522
1989.7890410958903,12.460774
1989.8712328767124,15.339859
1989.9561643835616,14.997216
1990.041095890411,10.437148
1990.1205479452055,6.6781707
1990.2027397260274,3.9344578
1990.2849315068493,1.9932975
1990.3698630136987,1.1934707
1990.4520547945206,1.5131543
1990.5369863013698,2.9857943
1990.6219178082192,6.2108574
1990.704109589041,9.645502
1990.7890410958903,13.185179
1990.8712328767124,15.43959
1990.9561643835616,10.339381
1991.041095890411,6.37624
1991.1205479452055,3.717615
1991.2027397260274,2.284526
1991.2849315068493,1.0690606
1991.3698630136987,0.6391948
1991.4520547945206,1.2352334
1991.5369863013698,3.7881346
1991.6219178082192,9.716455
1991.704109589041,13.325841
1991.7890410958903,14.135112
1991.8712328767124,10.623135
1991.9561643835616,9.1643
1992.0409836065573,6.09321
1992.122950819672,3.5708966
1992.204918032787,2.0125945
1992.2868852459017,0.9964501
1992.3715846994535,1.2188361
1992.4535519125684,3.458647
1992.5382513661202,6.2018933
1992.622950819672,10.475354
1992.704918032787,13.806012
1992.7896174863388,15.473148
1992.8715846994535,14.627359
1992.9562841530055,11.377476
1993.041095890411,7.423443
1993.1205479452055,4.200689
1993.2027397260274,2.2640092
1993.2849315068493,1.0479894
1993.3698630136987,0.7690554
1993.4520547945206,1.455052
1993.5369863013698,2.9295428
1993.6219178082192,6.2482877
1993.704109589041,9.296852
1993.7890410958903,12.648011
1993.8712328767124,12.439332
1993.9561643835616,7.43218
1994.041095890411,4.174334
1994.1205479452055,2.6211517
1994.2027397260274,1.976239
1994.2849315068493,0.99378747
1994.3698630136987,1.2675728
1994.4520547945206,2.306351
1994.5369863013698,4.0466533
1994.6219178082192,9.9063425
1994.704109589041,15.624957
1994.7890410958903,17.56389
1994.8712328767124,15.755771
1994.9561643835616,10.300231
1995.041095890411,6.961077
1995.1205479452055,4.2428694
1995.2027397260274,2.0429358
1995.2849315068493,0.923251
1995.3698630136987,0.6847998
1995.4520547945206,1.409514
1995.5369863013698,3.533322
1995.6219178082192,10.425725
1995.704109589041,14.049549
1995.7890410958903,13.871437
1995.8712328767124,13.063497
1995.9561643835616,11.417983
1996.0409836065573,6.5949903
1996.122950819672,3.5893693
1996.204918032787,1.9562787
1996.2868852459017,1.0478932
1996.3715846994535,0.8056543
1996.4535519125684,1.3900195
1996.5382513661202,1.9530249
1996.622950819672,4.1130714
1996.704918032787,8.455379
1996.7896174863388,7.756032
1996.8715846994535,9.281936
1996.9562841530055,5.3875985
1997.041095890411,3.224922
1997.1205479452055,1.6569388
1997.2027397260274,0.67446065
1997.2849315068493,0.24149561
1997.3698630136987,0.21212834
1997.4520547945206,0.32177064
1997.5369863013698,0.7839261
1997.6219178082192,1.8808562
1997.704109589041,3.9050562
1997.7890410958903,11.24091
1997.8712328767124,13.202525
1997.9561643835616,9.558163
1998.041095890411,4.953553
1998.1205479452055,2.5256846
1998.2027397260274,1.1074536
1998.2849315068493,0.4092902
1998.3698630136987,0.30804408
