# year, O3_pH
1997.2027397260274,8.072535
1997.2849315068493,8.071011
1997.3698630136987,8.08898
1997.4520547945206,8.103349
1997.5369863013698,8.11545
1997.6219178082192,8.127118
1997.704109589041,8.134632
1997.7890410958903,8.140579
1997.8712328767124,8.144514
1997.9561643835616,8.142019
1998.041095890411,8.1322975
1998.1205479452055,8.10614
1998.2027397260274,8.085376
1998.2849315068493,8.082527
1998.3698630136987,8.091255
1998.4520547945206,8.107885
1998.5369863013698,8.130208
1998.6219178082192,8.143736
1998.704109589041,8.151331
1998.7890410958903,8.158811
1998.8712328767124,8.156934
1998.9561643835616,8.145428
1999.041095890411,8.126674
1999.1205479452055,8.101535
1999.2027397260274,8.079282
1999.2849315068493,8.071352
1999.3698630136987,8.088628
1999.4520547945206,8.111383
1999.5369863013698,8.118332
1999.6219178082192,8.123269
1999.704109589041,8.126451
1999.7890410958903,8.13476
1999.8712328767124,8.141471
1999.9561643835616,8.132389
2000.0409836065573,8.113829
2000.122950819672,8.095147
2000.204918032787,8.073542
2000.2868852459017,8.062896
2000.3715846994535,8.076584
2000.4535519125684,8.099883
2000.5382513661202,8.121586
2000.622950819672,8.134481
2000.704918032787,8.135054
2000.7896174863388,8.131392
2000.8715846994535,8.137526
2000.9562841530055,8.138823
2001.041095890411,8.126914
2001.1205479452055,8.100446
2001.2027397260274,8.087473
2001.2849315068493,8.077504
2001.3698630136987,8.080537
2001.4520547945206,8.099552
2001.5369863013698,8.118641
2001.6219178082192,8.129129
2001.704109589041,8.140083
2001.7890410958903,8.142772
2001.8712328767124,8.150257
2001.9561643835616,8.146799
2002.041095890411,8.131305
2002.1205479452055,8.110633
2002.2027397260274,8.081773
2002.2849315068493,8.07188
2002.3698630136987,8.078964
2002.4520547945206,8.09303
2002.5369863013698,8.107008
2002.6219178082192,8.118338
2002.704109589041,8.126804
2002.7890410958903,8.125064
2002.8712328767124,8.133483
2002.9561643835616,8.135627
2003.041095890411,8.131527
2003.1205479452055,8.121959
2003.2027397260274,8.105867
2003.2849315068493,8.096457
2003.3698630136987,8.104555
2003.4520547945206,8.119566
2003.5369863013698,8.125689
2003.6219178082192,8.130795
2003.704109589041,8.133393
2003.7890410958903,8.1341715
2003.8712328767124,8.136515
2003.9561643835616,8.12231
2004.0409836065573,8.101646
2004.122950819672,8.084331
2004.204918032787,8.06163
2004.2868852459017,8.054764
2004.3715846994535,8.063019
2004.4535519125684,8.091246
2004.5382513661202,8.113636
2004.622950819672,8.121735
2004.704918032787,8.122638
2004.7896174863388,8.11795
2004.8715846994535,8.116981
2004.9562841530055,8.11854
2005.041095890411,8.105618
2005.1205479452055,8.083157
2005.2027397260274,8.059012
2005.2849315068493,8.056614
2005.3698630136987,8.075357
2005.4520547945206,8.0892105
2005.5369863013698,8.106668
2005.6219178082192,8.122137
2005.704109589041,8.125187
2005.7890410958903,8.122084
2005.8712328767124,8.125903
2005.9561643835616,8.129495
2006.041095890411,8.1109495
2006.1205479452055,8.094019
2006.2027397260274,8.07607
2006.2849315068493,8.073878
2006.3698630136987,8.080927
2006.4520547945206,8.102199
2006.5369863013698,8.115001
2006.6219178082192,8.123198
2006.704109589041,8.126325
2006.7890410958903,8.125694
2006.8712328767124,8.129732
2006.9561643835616,8.136835
2007.041095890411,8.12411
2007.1205479452055,8.104579
2007.2027397260274,8.091182
2007.2849315068493,8.083185
2007.3698630136987,8.08887
2007.4520547945206,8.1060295
2007.5369863013698,8.124435
2007.6219178082192,8.128533
2007.704109589041,8.1286335
2007.7890410958903,8.129686
2007.8712328767124,8.135666
2007.9561643835616,8.134498
2008.0409836065573,8.116311
2008.122950819672,8.096724
2008.204918032787,8.080434
2008.2868852459017,8.06653
2008.3715846994535,8.073381
2008.4535519125684,8.090048
2008.5382513661202,8.1074705
2008.622950819672,8.115834
2008.704918032787,8.123014
2008.7896174863388,8.131315
2008.8715846994535,8.140068
2008.9562841530055,8.135793
2009.041095890411,8.124683
2009.1205479452055,8.1053
2009.2027397260274,8.081181
2009.2849315068493,8.064785
2009.3698630136987,8.070904
2009.4520547945206,8.0950365
2009.5369863013698,8.111319
2009.6219178082192,8.119326
2009.704109589041,8.121544
2009.7890410958903,8.126034
2009.8712328767124,8.12689
2009.9561643835616,8.127201
2010.041095890411,8.10321
2010.1205479452055,8.065988
2010.2027397260274,8.049654
2010.2849315068493,8.044201
2010.3698630136987,8.059439
2010.4520547945206,8.084279
2010.5369863013698,8.106762
2010.6219178082192,8.116622
2010.704109589041,8.12233
2010.7890410958903,8.126567
2010.8712328767124,8.131203
2010.9561643835616,8.119255
2011.041095890411,8.096477
2011.1205479452055,8.078248
2011.2027397260274,8.06238
2011.2849315068493,8.06096
