# year, Ptot_c_result_clim
0.04371584699453552,9.3712435
0.12568306010928962,6.2402735
0.20491803278688525,4.145978
0.20765027322404372,4.6421742
0.2896174863387978,3.4210172
0.2923497267759563,3.6084187
0.37158469945355194,4.106881
0.3743169398907104,6.339557
0.4562841530054645,7.111296
0.45901639344262296,14.719513
0.5382513661202186,12.176706
0.5409836065573771,19.263063
0.6229508196721312,20.738203
0.6256830601092896,22.302574
0.7076502732240437,30.087265
0.7103825136612022,25.047262
0.7896174863387978,32.100563
0.7923497267759563,27.679544
0.8743169398907104,25.026041
0.8770491803278688,23.745321
0.9562841530054644,15.628394
0.9590163934426229,17.418528
1.0437158469945356,9.3712435
1.1256830601092895,6.2402735
1.2049180327868854,4.145978
1.2076502732240437,4.6421742
1.289617486338798,3.4210172
1.2923497267759563,3.6084187
1.3715846994535519,4.106881
1.3743169398907105,6.339557
1.4562841530054644,7.111296
1.459016393442623,14.719513
1.5382513661202186,12.176706
1.540983606557377,19.263063
1.6229508196721312,20.738203
1.6256830601092895,22.302574
1.7076502732240437,30.087265
1.710382513661202,25.047262
1.789617486338798,32.100563
1.7923497267759563,27.679544
1.8743169398907105,25.026041
1.8770491803278688,23.745321
1.9562841530054644,15.628394
1.959016393442623,17.418528
2.0437158469945356,9.3712435
2.1256830601092895,6.2402735
2.2049180327868854,4.145978
2.2076502732240435,4.6421742
2.289617486338798,3.4210172
2.2923497267759565,3.6084187
2.371584699453552,4.106881
2.3743169398907105,6.339557
2.4562841530054644,7.111296
2.459016393442623,14.719513
2.5382513661202184,12.176706
2.540983606557377,19.263063
2.6229508196721314,20.738203
2.6256830601092895,22.302574
2.7076502732240435,30.087265
2.710382513661202,25.047262
2.789617486338798,32.100563
2.7923497267759565,27.679544
2.8743169398907105,25.026041
2.8770491803278686,23.745321
2.9562841530054644,15.628394
2.959016393442623,17.418528
3.0437158469945356,9.3712435
3.1256830601092895,6.2402735
3.2049180327868854,4.145978
3.2076502732240435,4.6421742
3.289617486338798,3.4210172
3.2923497267759565,3.6084187
3.371584699453552,4.106881
3.3743169398907105,6.339557
3.4562841530054644,7.111296
3.459016393442623,14.719513
3.5382513661202184,12.176706
3.540983606557377,19.263063
3.6229508196721314,20.738203
3.6256830601092895,22.302574
3.7076502732240435,30.087265
3.710382513661202,25.047262
3.789617486338798,32.100563
3.7923497267759565,27.679544
3.8743169398907105,25.026041
3.8770491803278686,23.745321
3.9562841530054644,15.628394
3.959016393442623,17.418528
