# year, Ztot_c_result_clim
0.04371584699453552,7.182328
0.12568306010928962,4.424501
0.20491803278688525,2.3695736
0.20765027322404372,2.4926434
0.2896174863387978,1.2848356
0.2923497267759563,1.1710986
0.37158469945355194,1.1227636
0.3743169398907104,1.1044396
0.4562841530054645,2.153126
0.45901639344262296,3.0287619
0.5382513661202186,4.361054
0.5409836065573771,6.036445
0.6229508196721312,8.938954
0.6256830601092896,8.688091
0.7076502732240437,14.833113
0.7103825136612022,11.243346
0.7896174863387978,18.075499
0.7923497267759563,15.391616
0.8743169398907104,16.123426
0.8770491803278688,15.886838
0.9562841530054644,11.293213
0.9590163934426229,11.868049
1.0437158469945356,7.182328
1.1256830601092895,4.424501
1.2049180327868854,2.3695736
1.2076502732240437,2.4926434
1.289617486338798,1.2848356
1.2923497267759563,1.1710986
1.3715846994535519,1.1227636
1.3743169398907105,1.1044396
1.4562841530054644,2.153126
1.459016393442623,3.0287619
1.5382513661202186,4.361054
1.540983606557377,6.036445
1.6229508196721312,8.938954
1.6256830601092895,8.688091
1.7076502732240437,14.833113
1.710382513661202,11.243346
1.789617486338798,18.075499
1.7923497267759563,15.391616
1.8743169398907105,16.123426
1.8770491803278688,15.886838
1.9562841530054644,11.293213
1.959016393442623,11.868049
2.0437158469945356,7.182328
2.1256830601092895,4.424501
2.2049180327868854,2.3695736
2.2076502732240435,2.4926434
2.289617486338798,1.2848356
2.2923497267759565,1.1710986
2.371584699453552,1.1227636
2.3743169398907105,1.1044396
2.4562841530054644,2.153126
2.459016393442623,3.0287619
2.5382513661202184,4.361054
2.540983606557377,6.036445
2.6229508196721314,8.938954
2.6256830601092895,8.688091
2.7076502732240435,14.833113
2.710382513661202,11.243346
2.789617486338798,18.075499
2.7923497267759565,15.391616
2.8743169398907105,16.123426
2.8770491803278686,15.886838
2.9562841530054644,11.293213
2.959016393442623,11.868049
3.0437158469945356,7.182328
3.1256830601092895,4.424501
3.2049180327868854,2.3695736
3.2076502732240435,2.4926434
3.289617486338798,1.2848356
3.2923497267759565,1.1710986
3.371584699453552,1.1227636
3.3743169398907105,1.1044396
3.4562841530054644,2.153126
3.459016393442623,3.0287619
3.5382513661202184,4.361054
3.540983606557377,6.036445
3.6229508196721314,8.938954
3.6256830601092895,8.688091
3.7076502732240435,14.833113
3.710382513661202,11.243346
3.789617486338798,18.075499
3.7923497267759565,15.391616
3.8743169398907105,16.123426
3.8770491803278686,15.886838
3.9562841530054644,11.293213
3.959016393442623,11.868049
