# year, O3_TA_clim
0.00273224043715847,2438.6357
0.00546448087431694,2438.1367
0.00819672131147541,2438.5115
0.01092896174863388,2439.3003
0.01366120218579235,2439.4739
0.01639344262295082,2439.512
0.01912568306010929,2439.4111
0.02185792349726776,2439.2588
0.02459016393442623,2438.91
0.0273224043715847,2439.2073
0.030054644808743168,2439.5425
0.03278688524590164,2439.3608
0.03551912568306011,2438.517
0.03825136612021858,2438.8118
0.040983606557377046,2438.7207
0.04371584699453552,2438.73
0.04644808743169399,2438.377
0.04918032786885246,2437.355
0.05191256830601093,2438.4893
0.0546448087431694,2438.933
0.05737704918032787,2438.6335
0.060109289617486336,2438.6077
0.06284153005464481,2438.9097
0.06557377049180328,2438.7625
0.06830601092896176,2438.607
0.07103825136612021,2438.0894
0.07377049180327869,2437.9543
0.07650273224043716,2437.899
0.07923497267759563,2437.808
0.08196721311475409,2438.0168
0.08469945355191257,2438.2078
0.08743169398907104,2438.5178
0.09016393442622951,2437.932
0.09289617486338798,2437.832
0.09562841530054644,2437.4722
0.09836065573770492,2437.595
0.10109289617486339,2437.6694
0.10382513661202186,2436.6812
0.10655737704918032,2436.9995
0.1092896174863388,2437.3286
0.11202185792349727,2437.424
0.11475409836065574,2436.949
0.11748633879781421,2437.3787
0.12021857923497267,2437.9185
0.12295081967213115,2437.6316
0.12568306010928962,2436.3228
0.1284153005464481,2436.3032
0.13114754098360656,2436.5215
0.13387978142076504,2437.1384
0.1366120218579235,2436.2764
0.13934426229508196,2435.5996
0.14207650273224043,2435.3105
0.1448087431693989,2436.1401
0.14754098360655737,2434.9116
0.15027322404371585,2434.7883
0.15300546448087432,2435.3464
0.1557377049180328,2435.7642
0.15846994535519127,2435.0583
0.16120218579234974,2435.0552
0.16393442622950818,2435.0762
0.16666666666666666,2434.7546
0.16939890710382513,2433.3823
0.1721311475409836,2433.1304
0.17486338797814208,2434.4375
0.17759562841530055,2433.4485
0.18032786885245902,2433.2908
0.1830601092896175,2433.7856
0.18579234972677597,2433.2593
0.1885245901639344,2432.3115
0.1912568306010929,2432.7937
0.19398907103825136,2432.3467
0.19672131147540983,2432.7563
0.1994535519125683,2432.135
0.20218579234972678,2431.81
0.20491803278688525,2433.2122
0.20765027322404372,2432.9744
0.2103825136612022,2432.723
0.21311475409836064,2432.0234
0.21584699453551912,2430.8477
0.2185792349726776,2431.018
0.22131147540983606,2430.8074
0.22404371584699453,2431.432
0.226775956284153,2431.2415
0.22950819672131148,2430.2437
0.23224043715846995,2431.0222
0.23497267759562843,2431.7896
0.23770491803278687,2431.9536
0.24043715846994534,2431.6382
0.24316939890710382,2431.5833
0.2459016393442623,2431.0518
0.24863387978142076,2429.4397
0.25136612021857924,2429.0276
0.2540983606557377,2429.8765
0.2568306010928962,2429.73
0.25956284153005466,2429.0188
0.26229508196721313,2427.9207
0.2650273224043716,2427.9524
0.2677595628415301,2427.273
0.27049180327868855,2426.0469
0.273224043715847,2427.0742
0.27595628415300544,2427.561
0.2786885245901639,2426.1401
0.2814207650273224,2425.017
0.28415300546448086,2425.9436
0.28688524590163933,2425.3743
0.2896174863387978,2424.4824
0.2923497267759563,2424.091
0.29508196721311475,2423.6401
0.2978142076502732,2423.776
0.3005464480874317,2424.5378
0.30327868852459017,2424.4453
0.30601092896174864,2424.0347
0.3087431693989071,2424.3032
0.3114754098360656,2424.2297
0.31420765027322406,2423.0366
0.31693989071038253,2422.9412
0.319672131147541,2422.8982
0.3224043715846995,2422.681
0.3251366120218579,2423.295
0.32786885245901637,2423.9075
0.33060109289617484,2423.3281
0.3333333333333333,2423.2583
0.3360655737704918,2422.262
0.33879781420765026,2422.2788
0.34153005464480873,2422.6245
0.3442622950819672,2422.4917
0.3469945355191257,2422.1108
0.34972677595628415,2422.061
0.3524590163934426,2421.8433
0.3551912568306011,2420.6702
0.35792349726775957,2420.168
0.36065573770491804,2418.8127
0.3633879781420765,2419.3774
0.366120218579235,2418.2312
0.36885245901639346,2418.9282
0.37158469945355194,2419.6675
0.3743169398907104,2420.5378
0.3770491803278688,2420.411
0.3797814207650273,2420.4204
0.3825136612021858,2420.3398
0.38524590163934425,2420.0605
0.3879781420765027,2420.4253
0.3907103825136612,2419.923
0.39344262295081966,2419.2102
0.39617486338797814,2419.7922
0.3989071038251366,2420.011
0.4016393442622951,2420.2546
0.40437158469945356,2420.5776
0.40710382513661203,2420.2688
0.4098360655737705,2420.5996
0.412568306010929,2420.909
0.41530054644808745,2420.4714
0.4180327868852459,2421.183
0.4207650273224044,2421.149
0.42349726775956287,2421.1301
0.4262295081967213,2420.855
0.42896174863387976,2419.7285
0.43169398907103823,2420.84
0.4344262295081967,2421.39
0.4371584699453552,2421.6426
0.43989071038251365,2421.7222
0.4426229508196721,2422.0913
0.4453551912568306,2422.499
0.44808743169398907,2422.7417
0.45081967213114754,2422.7866
0.453551912568306,2422.4822
0.4562841530054645,2422.388
0.45901639344262296,2422.4211
0.46174863387978143,2422.8003
0.4644808743169399,2423.1602
0.4672131147540984,2423.3218
0.46994535519125685,2423.475
0.4726775956284153,2423.6895
0.47540983606557374,2423.818
0.4781420765027322,2423.9077
0.4808743169398907,2424.2341
0.48360655737704916,2424.3154
0.48633879781420764,2424.3245
0.4890710382513661,2424.4702
0.4918032786885246,2424.6646
0.49453551912568305,2424.8198
0.4972677595628415,2424.9563
0.5,2425.068
0.5027322404371585,2425.2703
0.505464480874317,2425.4292
0.5081967213114754,2425.5286
0.5109289617486339,2425.7524
0.5136612021857924,2426.0122
0.5163934426229508,2426.1956
