# year, Ptot_NPP_result_anom
1976.0409836065573,-7.9784164
1976.122950819672,-5.423197
1976.204918032787,-2.2499807
1976.2868852459017,0.15320826
1976.3715846994535,7.4401646
1976.4535519125684,21.53112
1976.5382513661202,14.962837
1976.622950819672,7.538557
1976.704918032787,-3.3589458
1976.7896174863388,-7.317011
1976.8715846994535,-9.934142
1976.9562841530055,-1.9734402
1977.041095890411,2.4181566
1977.1205479452055,5.3488026
1977.2027397260274,3.6097999
1977.2849315068493,2.580143
1977.3698630136987,1.0861592
1977.4520547945206,-1.4303522
1977.5369863013698,-1.3419304
1977.6219178082192,-3.1238651
1977.704109589041,-2.35396
1977.7890410958903,0.6261387
1977.8712328767124,1.3536682
1977.9561643835616,-3.0404072
1978.041095890411,-2.422142
1978.1205479452055,-1.3447299
1978.2027397260274,-0.99089956
1978.2849315068493,-0.20249987
1978.3698630136987,-1.2266445
1978.4520547945206,-0.87624073
1978.5369863013698,2.221243
1978.6219178082192,1.7476921
1978.704109589041,1.3443146
1978.7890410958903,-1.2036285
1978.8712328767124,-0.90541077
1978.9561643835616,-1.8526497
1979.041095890411,0.18311882
1979.1205479452055,-0.2927723
1979.2027397260274,-0.43839312
1979.2849315068493,-0.30197287
1979.3698630136987,-0.42327404
1979.4520547945206,-2.2884178
1979.5369863013698,-3.032896
1979.6219178082192,-0.753706
1979.704109589041,1.188034
1979.7890410958903,-1.2387009
1979.8712328767124,-0.9530411
1979.9561643835616,-2.872324
1980.0409836065573,-1.9060583
1980.122950819672,-1.9280734
1980.204918032787,-1.1785512
1980.2868852459017,-0.2788458
1980.3715846994535,-0.082325935
1980.4535519125684,-0.29234123
1980.5382513661202,2.9631042
1980.622950819672,-3.012228
1980.704918032787,-3.2149239
1980.7896174863388,-0.0037174225
1980.8715846994535,-0.15729713
1980.9562841530055,1.3553009
1981.041095890411,1.1737185
1981.1205479452055,-0.3660717
1981.2027397260274,-0.44384575
1981.2849315068493,-0.37610483
1981.3698630136987,-1.5618258
1981.4520547945206,-4.894624
1981.5369863013698,-3.329749
1981.6219178082192,-4.7199593
1981.704109589041,-2.2551804
1981.7890410958903,1.0910282
1981.8712328767124,0.7849655
1981.9561643835616,-0.5218792
1982.041095890411,-0.4569931
1982.1205479452055,-1.1693597
1982.2027397260274,-1.1648617
1982.2849315068493,-0.86439013
1982.3698630136987,-1.2295442
1982.4520547945206,-2.6922007
1982.5369863013698,-3.1626768
1982.6219178082192,-1.3575363
1982.704109589041,0.79821014
1982.7890410958903,0.7684765
1982.8712328767124,0.07020378
1982.9561643835616,-1.0230656
1983.041095890411,0.65775204
1983.1205479452055,-0.44167185
1983.2027397260274,-0.6955061
1983.2849315068493,-0.7873554
1983.3698630136987,-1.6400199
1983.4520547945206,-3.0454245
1983.5369863013698,-3.5735931
1983.6219178082192,-0.2176876
1983.704109589041,2.6417618
1983.7890410958903,0.7960777
1983.8712328767124,4.5473995
1983.9561643835616,7.2159424
1984.0409836065573,6.367569
1984.122950819672,4.67686
1984.204918032787,3.3103528
1984.2868852459017,0.44521952
1984.3715846994535,-1.5590391
1984.4535519125684,-5.4417057
1984.5382513661202,-3.6087008
1984.622950819672,0.12355614
1984.704918032787,2.0896416
1984.7896174863388,5.0322742
1984.8715846994535,4.2625484
1984.9562841530055,1.8286648
1985.041095890411,1.9633026
1985.1205479452055,0.94021034
1985.2027397260274,0.24188375
1985.2849315068493,-0.36740208
1985.3698630136987,-0.80364895
1985.4520547945206,-0.5698185
1985.5369863013698,-2.0976334
1985.6219178082192,3.7751675
1985.704109589041,3.1210556
1985.7890410958903,1.4490681
1985.8712328767124,0.93110657
1985.9561643835616,0.88385963
1986.041095890411,0.35180378
1986.1205479452055,-0.65794754
1986.2027397260274,-0.99150705
1986.2849315068493,-1.1864948
1986.3698630136987,-1.3487296
1986.4520547945206,-4.646557
1986.5369863013698,-7.456951
1986.6219178082192,-9.194355
1986.704109589041,-4.6648197
1986.7890410958903,-0.917511
1986.8712328767124,3.5310745
1986.9561643835616,1.1315384
1987.041095890411,1.3358946
1987.1205479452055,-0.039554596
1987.2027397260274,-0.77089834
1987.2849315068493,-1.107476
1987.3698630136987,-2.4000695
1987.4520547945206,-1.4156046
1987.5369863013698,1.6518917
1987.6219178082192,-1.7402325
1987.704109589041,0.6368542
1987.7890410958903,-1.9282303
1987.8712328767124,-1.4592953
1987.9561643835616,2.3109417
1988.0409836065573,2.8922071
1988.122950819672,-0.03964567
1988.204918032787,-0.69632196
1988.2868852459017,-0.5616088
1988.3715846994535,-1.800056
1988.4535519125684,-5.254924
1988.5382513661202,-5.476782
1988.622950819672,-4.5772915
1988.704918032787,-6.873888
1988.7896174863388,-5.72587
1988.8715846994535,-1.1816216
1988.9562841530055,2.9315758
1989.041095890411,3.7872858
1989.1205479452055,0.42704868
1989.2027397260274,-0.82563925
1989.2849315068493,-0.73812795
1989.3698630136987,-1.5713401
1989.4520547945206,-2.7618647
1989.5369863013698,-1.4600182
1989.6219178082192,-2.8076572
1989.704109589041,-6.207443
1989.7890410958903,-5.3232594
1989.8712328767124,0.5896988
1989.9561643835616,5.4072285
1990.041095890411,3.482108
1990.1205479452055,4.2437925
1990.2027397260274,1.98421
1990.2849315068493,0.7255869
1990.3698630136987,-2.1013703
1990.4520547945206,-5.6452045
1990.5369863013698,-6.014593
1990.6219178082192,-4.588503
1990.704109589041,-5.1490192
1990.7890410958903,-6.188793
1990.8712328767124,-3.062725
1990.9561643835616,-1.4101105
1991.041095890411,0.11592007
1991.1205479452055,-0.60950375
1991.2027397260274,-0.21854448
1991.2849315068493,-0.68107843
1991.3698630136987,-2.3091445
1991.4520547945206,-4.6340313
1991.5369863013698,-1.5916729
1991.6219178082192,1.1729431
1991.704109589041,-0.9985504
1991.7890410958903,-3.7001877
1991.8712328767124,-4.0560875
1991.9561643835616,-0.5325489
1992.0409836065573,-0.5564804
1992.122950819672,-0.5995879
1992.204918032787,-0.71922684
1992.2868852459017,-0.9970639
1992.3715846994535,-0.7971473
1992.4535519125684,1.2070436
1992.5382513661202,-0.36405182
1992.622950819672,-0.10636902
1992.704918032787,-1.6395416
1992.7896174863388,-2.246025
1992.8715846994535,-0.96396065
1992.9562841530055,-0.7356453
1993.041095890411,0.5284643
1993.1205479452055,-0.28215647
1993.2027397260274,-0.6627269
1993.2849315068493,-0.47261763
1993.3698630136987,-1.8633013
1993.4520547945206,-4.9547105
1993.5369863013698,-4.588607
1993.6219178082192,-5.495804
1993.704109589041,-6.7555714
1993.7890410958903,-6.22027
1993.8712328767124,-3.1501007
1993.9561643835616,-4.979583
1994.041095890411,-2.619007
1994.1205479452055,-1.1776762
1994.2027397260274,-0.23783827
1994.2849315068493,-0.34493494
1994.3698630136987,0.032094955
1994.4520547945206,-2.1425905
