# year, so_abs
1976.0,36.40732
1976.0027322404371,36.406498
1976.0054644808743,36.413
1976.0081967213114,36.419403
1976.0109289617487,36.418762
1976.0136612021859,36.41261
1976.016393442623,36.39978
1976.01912568306,36.393837
1976.0218579234972,36.379566
1976.0245901639344,36.383892
1976.0273224043715,36.3816
1976.0300546448088,36.389156
1976.032786885246,36.38808
1976.035519125683,36.38196
1976.0382513661202,36.38744
1976.0409836065573,36.382767
1976.0437158469945,36.311806
1976.0464480874316,36.236717
1976.049180327869,36.32605
1976.051912568306,36.3396
1976.0546448087432,36.335514
1976.0573770491803,36.338844
1976.0601092896175,36.343
1976.0628415300546,36.34604
1976.0655737704917,36.340797
1976.068306010929,36.33355
1976.0710382513662,36.343956
1976.0737704918033,36.323658
1976.0765027322404,36.33387
1976.0792349726776,36.3376
1976.0819672131147,36.352352
1976.0846994535518,36.46772
1976.0874316939892,36.4691
1976.0901639344263,36.47365
1976.0928961748634,36.46654
1976.0956284153006,36.466877
1976.0983606557377,36.4806
1976.1010928961748,36.482685
1976.103825136612,36.48472
1976.1065573770493,36.489906
1976.1092896174864,36.479397
1976.1120218579235,36.470695
1976.1147540983607,36.414875
1976.1174863387978,36.398373
1976.120218579235,36.350475
1976.122950819672,36.40074
1976.1256830601094,36.434196
1976.1284153005465,36.43458
1976.1311475409836,36.434864
1976.1338797814208,36.37045
1976.136612021858,36.342957
1976.139344262295,36.40918
1976.1420765027322,36.422512
1976.1448087431695,36.404736
1976.1475409836066,36.404152
1976.1502732240438,36.403954
1976.1530054644809,36.36919
1976.155737704918,36.224453
1976.1584699453551,36.35536
1976.1612021857923,36.37949
1976.1639344262296,36.483322
1976.1666666666667,36.442856
1976.1693989071039,36.439007
1976.172131147541,36.47435
1976.1748633879781,36.42818
1976.1775956284152,36.44003
1976.1803278688524,36.471718
1976.1830601092897,36.47603
1976.1857923497269,36.397953
1976.188524590164,36.4343
1976.191256830601,36.467243
1976.1939890710382,36.478012
1976.1967213114754,36.468784
1976.1994535519125,36.459724
1976.2021857923498,36.476562
1976.204918032787,36.48108
1976.207650273224,36.481167
1976.2103825136612,36.476933
1976.2131147540983,36.419907
1976.2158469945355,36.407867
1976.2185792349726,36.447857
1976.22131147541,36.454147
1976.224043715847,36.42813
1976.2267759562842,36.40199
1976.2295081967213,36.456535
1976.2322404371585,36.446587
1976.2349726775956,36.4459
1976.2377049180327,36.437645
1976.24043715847,36.421375
1976.2431693989072,36.436592
1976.2459016393443,36.424103
1976.2486338797814,36.438473
1976.2513661202186,36.412636
1976.2540983606557,36.37999
1976.2568306010928,36.365273
1976.25956284153,36.4021
1976.2622950819673,36.408215
1976.2650273224044,36.35038
1976.2677595628415,36.362144
1976.2704918032787,36.389534
1976.2732240437158,36.40316
1976.275956284153,36.402622
1976.27868852459,36.403908
1976.2814207650274,36.388477
1976.2841530054645,36.344357
1976.2868852459017,36.32851
1976.2896174863388,36.377384
1976.292349726776,36.372272
1976.295081967213,36.34625
1976.2978142076502,36.409157
1976.3005464480875,36.400604
1976.3032786885246,36.38283
1976.3060109289618,36.377846
1976.308743169399,36.39927
1976.311475409836,36.403313
1976.3142076502731,36.405373
1976.3169398907103,36.395008
1976.3196721311476,36.388813
1976.3224043715848,36.38552
1976.3251366120219,36.373085
1976.327868852459,36.35116
1976.3306010928961,36.379807
1976.3333333333333,36.395508
1976.3360655737704,36.35292
1976.3387978142077,36.363796
1976.3415300546449,36.37467
1976.344262295082,36.384136
1976.3469945355191,36.384674
1976.3497267759562,36.375618
1976.3524590163934,36.320084
1976.3551912568305,36.30906
1976.3579234972678,36.304287
1976.360655737705,36.327568
1976.363387978142,36.2977
1976.3661202185792,36.32149
1976.3688524590164,36.31634
1976.3715846994535,36.310474
1976.3743169398906,36.303604
1976.377049180328,36.282974
1976.379781420765,36.253826
1976.3825136612022,36.183975
1976.3852459016393,36.21615
1976.3879781420765,36.21685
1976.3907103825136,36.20106
1976.3934426229507,36.163982
1976.396174863388,36.19162
1976.3989071038252,36.199337
1976.4016393442623,36.191566
1976.4043715846994,36.184475
1976.4071038251366,36.169083
1976.4098360655737,36.160526
1976.4125683060108,36.163982
1976.4153005464482,36.29981
1976.4180327868853,36.301613
1976.4207650273224,36.31541
1976.4234972677596,36.319355
1976.4262295081967,36.308167
1976.4289617486338,36.30974
1976.431693989071,36.310772
1976.4344262295083,36.303947
1976.4371584699454,36.30364
1976.4398907103825,36.29698
1976.4426229508197,36.279434
1976.4453551912568,36.27766
1976.448087431694,36.287113
1976.450819672131,36.29299
1976.4535519125684,36.28229
1976.4562841530055,36.27891
1976.4590163934427,36.282402
1976.4617486338798,36.28364
1976.464480874317,36.283184
1976.467213114754,36.279335
1976.4699453551912,36.275005
1976.4726775956285,36.270638
1976.4754098360656,36.267544
1976.4781420765028,36.26639
1976.48087431694,36.264893
1976.483606557377,36.259243
1976.4863387978141,36.25368
1976.4890710382513,36.244595
1976.4918032786886,36.241646
1976.4945355191257,36.248856
1976.4972677595629,36.27996
1976.5,36.28613
1976.5027322404371,36.293507
1976.5054644808743,36.30134
1976.5081967213114,36.301636
1976.5109289617487,36.299778
1976.5136612021859,36.300358
1976.516393442623,36.30315
1976.51912568306,36.304344
1976.5218579234972,36.30598
1976.5245901639344,36.303497
1976.5273224043715,36.29872
1976.5300546448088,36.301968
1976.532786885246,36.306602
1976.535519125683,36.30939
1976.5382513661202,36.314148
1976.5409836065573,36.31388
1976.5437158469945,36.31518
1976.5464480874316,36.321182
1976.549180327869,36.323174
1976.551912568306,36.321075
