# year, thetao_con_clim
0.00273224043715847,26.056381
0.00546448087431694,26.098652
0.00819672131147541,26.163776
0.01092896174863388,26.183193
0.01366120218579235,26.267025
0.01639344262295082,26.30607
0.01912568306010929,26.329626
0.02185792349726776,26.338205
0.02459016393442623,26.389301
0.0273224043715847,26.467667
0.030054644808743168,26.53072
0.03278688524590164,26.611294
0.03551912568306011,26.616901
0.03825136612021858,26.607758
0.040983606557377046,26.586994
0.04371584699453552,26.591991
0.04644808743169399,26.625244
0.04918032786885246,26.637482
0.05191256830601093,26.67098
0.0546448087431694,26.708944
0.05737704918032787,26.76214
0.060109289617486336,26.813278
0.06284153005464481,26.845123
0.06557377049180328,26.89419
0.06830601092896176,26.926636
0.07103825136612021,26.950474
0.07377049180327869,26.965689
0.07650273224043716,27.044262
0.07923497267759563,27.115488
0.08196721311475409,27.204376
0.08469945355191257,27.281118
0.08743169398907104,27.22321
0.09016393442622951,27.232655
0.09289617486338798,27.228039
0.09562841530054644,27.237265
0.09836065573770492,27.28716
0.10109289617486339,27.378132
0.10382513661202186,27.44888
0.10655737704918032,27.526617
0.1092896174863388,27.556377
0.11202185792349727,27.595907
0.11475409836065574,27.62937
0.11748633879781421,27.659378
0.12021857923497267,27.694992
0.12295081967213115,27.670034
0.12568306010928962,27.617268
0.1284153005464481,27.686756
0.13114754098360656,27.762775
0.13387978142076504,27.771536
0.1366120218579235,27.784159
0.13934426229508196,27.779474
0.14207650273224043,27.779251
0.1448087431693989,27.760239
0.14754098360655737,27.74361
0.15027322404371585,27.779974
0.15300546448087432,27.876547
0.1557377049180328,27.908533
0.15846994535519127,27.90387
0.16120218579234974,27.964321
0.16393442622950818,27.989614
0.16666666666666666,28.048798
0.16939890710382513,28.063858
0.1721311475409836,28.085886
0.17486338797814208,28.11468
0.17759562841530055,28.063354
0.18032786885245902,28.067745
0.1830601092896175,28.052128
0.18579234972677597,28.066738
0.1885245901639344,28.071848
0.1912568306010929,28.11201
0.19398907103825136,28.13558
0.19672131147540983,28.13943
0.1994535519125683,28.188412
0.20218579234972678,28.217703
0.20491803278688525,28.238941
0.20765027322404372,28.21886
0.2103825136612022,28.248432
0.21311475409836064,28.252033
0.21584699453551912,28.20874
0.2185792349726776,28.1647
0.22131147540983606,28.187546
0.22404371584699453,28.200165
0.226775956284153,28.221262
0.22950819672131148,28.198828
0.23224043715846995,28.228647
0.23497267759562843,28.268946
0.23770491803278687,28.276031
0.24043715846994534,28.240265
0.24316939890710382,28.271458
0.2459016393442623,28.285166
0.24863387978142076,28.243332
0.25136612021857924,28.28233
0.2540983606557377,28.321262
0.2568306010928962,28.27587
0.25956284153005466,28.281504
0.26229508196721313,28.200861
0.2650273224043716,28.162186
0.2677595628415301,28.12377
0.27049180327868855,28.121563
0.273224043715847,28.121902
0.27595628415300544,28.112234
0.2786885245901639,28.06224
0.2814207650273224,28.078033
0.28415300546448086,28.090097
0.28688524590163933,28.032644
0.2896174863387978,28.007877
0.2923497267759563,27.94105
0.29508196721311475,27.89599
0.2978142076502732,27.892971
0.3005464480874317,27.909903
0.30327868852459017,27.933863
0.30601092896174864,27.870077
0.3087431693989071,27.815882
0.3114754098360656,27.778769
0.31420765027322406,27.786533
0.31693989071038253,27.704489
0.319672131147541,27.67158
0.3224043715846995,27.65939
0.3251366120218579,27.617569
0.32786885245901637,27.551834
0.33060109289617484,27.485794
0.3333333333333333,27.489323
0.3360655737704918,27.404306
0.33879781420765026,27.380554
0.34153005464480873,27.362865
0.3442622950819672,27.332806
0.3469945355191257,27.278559
0.34972677595628415,27.243174
0.3524590163934426,27.206015
0.3551912568306011,27.150738
0.35792349726775957,27.108881
0.36065573770491804,27.05663
0.3633879781420765,27.035547
0.366120218579235,26.984674
0.36885245901639346,26.958588
0.37158469945355194,26.955875
0.3743169398907104,26.935017
0.3770491803278688,26.90302
0.3797814207650273,26.854925
0.3825136612021858,26.820654
0.38524590163934425,26.773006
0.3879781420765027,26.740149
0.3907103825136612,26.699087
0.39344262295081966,26.661358
0.39617486338797814,26.610737
0.3989071038251366,26.570572
0.4016393442622951,26.546122
0.40437158469945356,26.518473
0.40710382513661203,26.454983
0.4098360655737705,26.42627
0.412568306010929,26.395111
0.41530054644808745,26.346485
0.4180327868852459,26.361725
0.4207650273224044,26.327587
0.42349726775956287,26.290546
0.4262295081967213,26.251654
0.42896174863387976,26.213654
0.43169398907103823,26.20404
0.4344262295081967,26.177658
0.4371584699453552,26.146769
0.43989071038251365,26.10783
0.4426229508196721,26.06126
0.4453551912568306,26.013592
0.44808743169398907,25.976685
0.45081967213114754,25.949697
0.453551912568306,25.925503
0.4562841530054645,25.884756
0.45901639344262296,25.845953
0.46174863387978143,25.812077
0.4644808743169399,25.782772
0.4672131147540984,25.74294
0.46994535519125685,25.707245
0.4726775956284153,25.66265
0.47540983606557374,25.608826
0.4781420765027322,25.561312
0.4808743169398907,25.519691
0.48360655737704916,25.48407
0.48633879781420764,25.458542
0.4890710382513661,25.426695
0.4918032786885246,25.38624
0.49453551912568305,25.35175
0.4972677595628415,25.325876
0.5,25.377792
0.5027322404371585,25.337385
0.505464480874317,25.307117
0.5081967213114754,25.280964
0.5109289617486339,25.239046
0.5136612021857924,25.197624
0.5163934426229508,25.156925
0.5191256830601093,25.115694
0.5218579234972678,25.076603
0.5245901639344263,25.046421
0.5273224043715847,25.017632
0.5300546448087432,24.980148
0.5327868852459017,24.952099
0.5355191256830601,24.91659
0.5382513661202186,24.884888
0.5409836065573771,24.845709
0.5437158469945356,24.813099
0.546448087431694,24.773022
