# year, O3_c_clim
0.00273224043715847,2077.3604
0.00546448087431694,2076.8774
0.00819672131147541,2077.017
0.01092896174863388,2077.6196
0.01366120218579235,2077.753
0.01639344262295082,2077.5688
0.01912568306010929,2077.346
0.02185792349726776,2077.3586
0.02459016393442623,2076.9907
0.0273224043715847,2077.1802
0.030054644808743168,2077.583
0.03278688524590164,2077.2334
0.03551912568306011,2076.379
0.03825136612021858,2076.7544
0.040983606557377046,2076.7905
0.04371584699453552,2076.8352
0.04644808743169399,2076.6545
0.04918032786885246,2075.6938
0.05191256830601093,2076.751
0.0546448087431694,2077.276
0.05737704918032787,2076.9304
0.060109289617486336,2076.9282
0.06284153005464481,2077.2593
0.06557377049180328,2077.0845
0.06830601092896176,2077.0732
0.07103825136612021,2076.7285
0.07377049180327869,2076.5999
0.07650273224043716,2076.5403
0.07923497267759563,2076.501
0.08196721311475409,2076.897
0.08469945355191257,2077.2683
0.08743169398907104,2077.738
0.09016393442622951,2077.2302
0.09289617486338798,2077.2778
0.09562841530054644,2077.22
0.09836065573770492,2077.3516
0.10109289617486339,2077.5305
0.10382513661202186,2076.8406
0.10655737704918032,2077.1636
0.1092896174863388,2077.6821
0.11202185792349727,2078.017
0.11475409836065574,2077.8364
0.11748633879781421,2078.2947
0.12021857923497267,2078.9329
0.12295081967213115,2079.0322
0.12568306010928962,2078.1255
0.1284153005464481,2078.2012
0.13114754098360656,2078.741
0.13387978142076504,2079.5928
0.1366120218579235,2078.947
0.13934426229508196,2078.3037
0.14207650273224043,2078.4531
0.1448087431693989,2079.7053
0.14754098360655737,2078.834
0.15027322404371585,2078.7178
0.15300546448087432,2079.6174
0.1557377049180328,2080.2764
0.15846994535519127,2079.8516
0.16120218579234974,2080.0195
0.16393442622950818,2079.9248
0.16666666666666666,2079.7954
0.16939890710382513,2078.8293
0.1721311475409836,2078.982
0.17486338797814208,2080.4978
0.17759562841530055,2079.759
0.18032786885245902,2079.976
0.1830601092896175,2081.2505
0.18579234972677597,2081.096
0.1885245901639344,2080.267
0.1912568306010929,2080.9253
0.19398907103825136,2081.0044
0.19672131147540983,2081.7983
0.1994535519125683,2081.3245
0.20218579234972678,2081.337
0.20491803278688525,2083.133
0.20765027322404372,2083.1848
0.2103825136612022,2082.9778
0.21311475409836064,2082.6345
0.21584699453551912,2082.0698
0.2185792349726776,2082.5298
0.22131147540983606,2082.5237
0.22404371584699453,2083.3403
0.226775956284153,2083.339
0.22950819672131148,2082.629
0.23224043715846995,2083.869
0.23497267759562843,2084.7954
0.23770491803278687,2084.9517
0.24043715846994534,2084.7595
0.24316939890710382,2084.802
0.2459016393442623,2084.5605
0.24863387978142076,2083.4546
0.25136612021857924,2083.3152
0.2540983606557377,2084.414
0.2568306010928962,2084.6157
0.25956284153005466,2084.0273
0.26229508196721313,2083.3618
0.2650273224043716,2083.7773
0.2677595628415301,2083.316
0.27049180327868855,2082.4778
0.273224043715847,2083.7026
0.27595628415300544,2084.3723
0.2786885245901639,2083.3765
0.2814207650273224,2082.3987
0.28415300546448086,2083.2673
0.28688524590163933,2083.2305
0.2896174863387978,2082.7402
0.2923497267759563,2082.4624
0.29508196721311475,2082.44
0.2978142076502732,2082.7583
0.3005464480874317,2083.6567
0.30327868852459017,2083.7087
0.30601092896174864,2083.3591
0.3087431693989071,2083.706
0.3114754098360656,2083.7847
0.31420765027322406,2082.8308
0.31693989071038253,2082.893
0.319672131147541,2083.1138
0.3224043715846995,2082.9868
0.3251366120218579,2083.592
0.32786885245901637,2084.3303
0.33060109289617484,2084.042
0.3333333333333333,2083.9297
0.3360655737704918,2083.1165
0.33879781420765026,2083.2249
0.34153005464480873,2083.6763
0.3442622950819672,2083.4517
0.3469945355191257,2083.1238
0.34972677595628415,2083.2983
0.3524590163934426,2083.19
0.3551912568306011,2082.1025
0.35792349726775957,2081.6523
0.36065573770491804,2080.6294
0.3633879781420765,2081.2766
0.366120218579235,2080.3716
0.36885245901639346,2080.9634
0.37158469945355194,2081.7393
0.3743169398907104,2082.651
0.3770491803278688,2082.5305
0.3797814207650273,2082.4517
0.3825136612021858,2082.4607
0.38524590163934425,2082.2808
0.3879781420765027,2082.556
0.3907103825136612,2082.1147
0.39344262295081966,2081.5034
0.39617486338797814,2082.0532
0.3989071038251366,2082.2075
0.4016393442622951,2082.438
0.40437158469945356,2082.8389
0.40710382513661203,2082.6372
0.4098360655737705,2082.854
0.412568306010929,2083.1008
0.41530054644808745,2082.871
0.4180327868852459,2083.5254
0.4207650273224044,2083.4265
0.42349726775956287,2083.4805
0.4262295081967213,2083.366
0.42896174863387976,2082.41
0.43169398907103823,2083.3804
0.4344262295081967,2084.0015
0.4371584699453552,2084.339
0.43989071038251365,2084.3633
0.4426229508196721,2084.7832
0.4453551912568306,2085.2036
0.44808743169398907,2085.3704
0.45081967213114754,2085.2559
0.453551912568306,2084.8828
0.4562841530054645,2084.7915
0.45901639344262296,2084.792
0.46174863387978143,2085.0215
0.4644808743169399,2085.3113
0.4672131147540984,2085.431
0.46994535519125685,2085.587
0.4726775956284153,2085.8171
0.47540983606557374,2085.9468
0.4781420765027322,2085.987
0.4808743169398907,2086.2705
0.48360655737704916,2086.332
0.48633879781420764,2086.304
0.4890710382513661,2086.3713
0.4918032786885246,2086.474
0.49453551912568305,2086.48
0.4972677595628415,2086.401
0.5,2086.4495
0.5027322404371585,2086.647
0.505464480874317,2086.6304
0.5081967213114754,2086.5295
0.5109289617486339,2086.77
0.5136612021857924,2087.1238
0.5163934426229508,2087.2595
0.5191256830601093,2087.3179
