# year, thetao_con_anom
1976.0,-0.16150856
1976.0027322404371,-0.039405823
1976.0054644808743,-0.043823242
1976.0081967213114,0.07735634
1976.0109289617487,0.21112251
1976.0136612021859,0.11941147
1976.016393442623,-0.038887024
1976.01912568306,-0.182333
1976.0218579234972,-0.07537651
1976.0245901639344,0.28310204
1976.0273224043715,0.3252716
1976.0300546448088,0.6470547
1976.032786885246,0.6941395
1976.035519125683,0.2964077
1976.0382513661202,0.12128067
1976.0409836065573,0.11179161
1976.0437158469945,0.035081863
1976.0464480874316,-0.15351677
1976.049180327869,-0.19547081
1976.051912568306,-0.07035828
1976.0546448087432,-0.075927734
1976.0573770491803,0.025531769
1976.0601092896175,-0.03230095
1976.0628415300546,-0.018613815
1976.0655737704917,0.055940628
1976.068306010929,0.16819
1976.0710382513662,0.024232864
1976.0737704918033,-0.03284073
1976.0765027322404,0.12943459
1976.0792349726776,0.4242649
1976.0819672131147,0.5412941
1976.0846994535518,-0.40883636
1976.0874316939892,-0.44703865
1976.0901639344263,-0.3294487
1976.0928961748634,0.024770737
1976.0956284153006,0.06750107
1976.0983606557377,0.22517967
1976.1010928961748,0.4546833
1976.103825136612,0.6999035
1976.1065573770493,0.57642365
1976.1092896174864,0.38448524
1976.1120218579235,0.12857056
1976.1147540983607,-0.07870102
1976.1174863387978,-0.12305069
1976.120218579235,-0.13554573
1976.122950819672,-0.10847664
1976.1256830601094,-0.22714806
1976.1284153005465,-0.22184563
1976.1311475409836,-0.18408012
1976.1338797814208,-0.18222427
1976.136612021858,-0.3389759
1976.139344262295,-0.31422806
1976.1420765027322,-0.28730202
1976.1448087431695,-0.06904411
1976.1475409836066,-0.1279583
1976.1502732240438,-0.26419258
1976.1530054644809,-0.22602463
1976.155737704918,-0.38549423
1976.1584699453551,-0.4036312
1976.1612021857923,-0.05171013
1976.1639344262296,-0.55724716
1976.1666666666667,-0.40221024
1976.1693989071039,-0.3459282
1976.172131147541,-0.37501144
1976.1748633879781,-0.4614315
1976.1775956284152,-0.3756199
1976.1803278688524,-0.45531654
1976.1830601092897,-0.34923935
1976.1857923497269,-0.26781273
1976.188524590164,-0.15289116
1976.191256830601,-0.041902542
1976.1939890710382,-0.09011078
1976.1967213114754,-0.27137566
1976.1994535519125,-0.14914703
1976.2021857923498,-0.064813614
1976.204918032787,0.23792267
1976.207650273224,0.098869324
1976.2103825136612,0.13576508
1976.2131147540983,0.018903732
1976.2158469945355,-0.025388718
1976.2185792349726,0.07688141
1976.22131147541,0.020309448
1976.224043715847,-0.07340622
1976.2267759562842,-0.07361603
1976.2295081967213,-0.118478775
1976.2322404371585,-0.06931114
1976.2349726775956,-0.02999878
1976.2377049180327,-0.16987038
1976.24043715847,-0.14626694
1976.2431693989072,-0.049013138
1976.2459016393443,0.03368759
1976.2486338797814,-0.14802933
1976.2513661202186,-0.12221718
1976.2540983606557,-0.24983215
1976.2568306010928,-0.22130966
1976.25956284153,-0.111269
1976.2622950819673,-0.024425507
1976.2650273224044,-0.098386765
1976.2677595628415,0.052757263
1976.2704918032787,0.099126816
1976.2732240437158,0.14010811
1976.275956284153,0.094493866
1976.27868852459,0.31955338
1976.2814207650274,0.3323326
1976.2841530054645,0.072122574
1976.2868852459017,0.06280899
1976.2896174863388,0.060588837
1976.292349726776,0.08244705
1976.295081967213,0.09511566
1976.2978142076502,-0.0027923584
1976.3005464480875,-0.05732727
1976.3032786885246,-0.06594467
1976.3060109289618,-0.017621994
1976.308743169399,0.019216537
1976.311475409836,-0.020393372
1976.3142076502731,-0.079652786
1976.3169398907103,0.19684601
1976.3196721311476,0.291687
1976.3224043715848,0.23203468
1976.3251366120219,0.1030674
1976.327868852459,0.10082817
1976.3306010928961,0.34400558
1976.3333333333333,0.3052616
1976.3360655737704,0.33481598
1976.3387978142077,0.4354248
1976.3415300546449,0.41444206
1976.344262295082,0.37741852
1976.3469945355191,0.34622955
1976.3497267759562,0.29972267
1976.3524590163934,0.24709702
1976.3551912568305,0.2678299
1976.3579234972678,0.28184128
1976.360655737705,0.28473854
1976.363387978142,0.31481743
1976.3661202185792,0.34988976
1976.3688524590164,0.34396172
1976.3715846994535,0.305336
1976.3743169398906,0.2841549
1976.377049180328,0.29044342
1976.379781420765,0.2738304
1976.3825136612022,0.2090931
1976.3852459016393,0.23674393
1976.3879781420765,0.21348381
1976.3907103825136,0.2021656
1976.3934426229507,0.2249775
1976.396174863388,0.24653053
1976.3989071038252,0.2885418
1976.4016393442623,0.332489
1976.4043715846994,0.295084
1976.4071038251366,0.3049755
1976.4098360655737,0.32427216
1976.4125683060108,0.3791752
1976.4153005464482,0.8848667
1976.4180327868853,0.88264465
1976.4207650273224,0.84176254
1976.4234972677596,0.792902
1976.4262295081967,0.7874794
1976.4289617486338,0.71637535
1976.431693989071,0.64914894
1976.4344262295083,0.5986347
1976.4371584699454,0.5451164
1976.4398907103825,0.49640274
1976.4426229508197,0.47661972
1976.4453551912568,0.4777813
1976.448087431694,0.4627781
1976.450819672131,0.45038795
1976.4535519125684,0.42602348
1976.4562841530055,0.41591454
1976.4590163934427,0.3961773
1976.4617486338798,0.37771606
1976.464480874317,0.34319878
