# year, Ptot_Chl_result_anom
1976.0409836065573,-0.03663423
1976.122950819672,-0.021537267
1976.204918032787,-0.009131323
1976.2868852459017,0.0010956321
1976.3715846994535,0.066532254
1976.4535519125684,0.3242867
1976.5382513661202,0.24893917
1976.622950819672,0.09590745
1976.704918032787,-0.08438966
1976.7896174863388,-0.13443613
1976.8715846994535,-0.10443387
1976.9562841530055,0.017643854
1977.041095890411,0.04097876
1977.1205479452055,0.03971044
1977.2027397260274,0.020534676
1977.2849315068493,0.011604257
1977.3698630136987,0.0013960991
1977.4520547945206,-0.030837175
1977.5369863013698,-0.035521045
1977.6219178082192,-0.054269567
1977.704109589041,-0.009151906
1977.7890410958903,0.040635884
1977.8712328767124,0.013148859
1977.9561643835616,-0.04001183
1978.041095890411,-0.02095919
1978.1205479452055,-0.010417746
1978.2027397260274,-0.0060102586
1978.2849315068493,-0.00175172
1978.3698630136987,-0.011048052
1978.4520547945206,-0.028101187
1978.5369863013698,0.016762301
1978.6219178082192,0.029001772
1978.704109589041,0.0051974654
1978.7890410958903,-0.020139962
1978.8712328767124,-0.010264158
1978.9561643835616,-0.020153008
1979.041095890411,-0.0068501607
1979.1205479452055,-0.0070303883
1979.2027397260274,-0.0034817718
1979.2849315068493,-0.0007717917
1979.3698630136987,-0.0028475951
1979.4520547945206,-0.03642427
1979.5369863013698,-0.048010647
1979.6219178082192,0.010117248
1979.704109589041,0.030012459
1979.7890410958903,-0.011780739
1979.8712328767124,-0.042080954
1979.9561643835616,-0.0413189
1980.0409836065573,-0.01911138
1980.122950819672,-0.012315331
1980.204918032787,-0.006539709
1980.2868852459017,-0.0016690837
1980.3715846994535,-0.0060851667
1980.4535519125684,-0.016488284
1980.5382513661202,0.00936453
1980.622950819672,-0.06950736
1980.704918032787,-0.088664725
1980.7896174863388,-0.048897326
1980.8715846994535,-0.0014578104
1980.9562841530055,0.0101715475
1981.041095890411,-0.0037276112
1981.1205479452055,-0.0075801276
1981.2027397260274,-0.0046068598
1981.2849315068493,-0.0019815937
1981.3698630136987,-0.0103867315
1981.4520547945206,-0.053471833
1981.5369863013698,-0.054210633
1981.6219178082192,-0.07768804
1981.704109589041,-0.059876367
1981.7890410958903,-0.0130212605
1981.8712328767124,-0.0005582124
1981.9561643835616,-0.01313065
1982.041095890411,-0.0130536705
1982.1205479452055,-0.01120824
1982.2027397260274,-0.007717332
1982.2849315068493,-0.00373716
1982.3698630136987,-0.009008095
1982.4520547945206,-0.038114592
1982.5369863013698,-0.031738088
1982.6219178082192,0.001883015
1982.704109589041,0.050044805
1982.7890410958903,0.039245516
1982.8712328767124,0.010896057
1982.9561643835616,-0.0111736655
1983.041095890411,-0.002547551
1983.1205479452055,-0.0061931536
1983.2027397260274,-0.0049753767
1983.2849315068493,-0.003104302
1983.3698630136987,-0.011381391
1983.4520547945206,-0.043760158
1983.5369863013698,-0.03965523
1983.6219178082192,0.018508554
1983.704109589041,0.059116453
1983.7890410958903,0.04523331
1983.8712328767124,0.07881689
1983.9561643835616,0.08678724
1984.0409836065573,0.05469563
1984.122950819672,0.037604146
1984.204918032787,0.022828277
1984.2868852459017,0.002696097
1984.3715846994535,-0.01165759
1984.4535519125684,-0.055117697
1984.5382513661202,-0.035558075
1984.622950819672,0.005610451
1984.704918032787,0.043010026
1984.7896174863388,0.081046194
