# year, Ptot_NPP_result
1976.0409836065573,3.8929386
1976.122950819672,2.491481
1976.204918032787,3.3704593
1976.2868852459017,4.719176
1976.3715846994535,13.528216
1976.4535519125684,33.279747
1976.5382513661202,32.913605
1976.622950819672,32.111504
1976.704918032787,26.24233
1976.7896174863388,22.562729
1976.8715846994535,15.837239
1976.9562841530055,17.18494
1977.041095890411,14.289512
1977.1205479452055,13.26348
1977.2027397260274,9.23024
1977.2849315068493,7.1461105
1977.3698630136987,7.174211
1977.4520547945206,10.318274
1977.5369863013698,16.608837
1977.6219178082192,21.449081
1977.704109589041,27.247316
1977.7890410958903,30.505878
1977.8712328767124,27.12505
1977.9561643835616,16.117973
1978.041095890411,9.449213
1978.1205479452055,6.5699477
1978.2027397260274,4.6295404
1978.2849315068493,4.3634677
1978.3698630136987,4.8614073
1978.4520547945206,10.872385
1978.5369863013698,20.17201
1978.6219178082192,26.320639
1978.704109589041,30.945591
1978.7890410958903,28.676111
1978.8712328767124,24.86597
1978.9561643835616,17.30573
1979.041095890411,12.054474
1979.1205479452055,7.6219053
1979.2027397260274,5.182047
1979.2849315068493,4.2639947
1979.3698630136987,5.6647778
1979.4520547945206,9.460208
1979.5369863013698,14.917871
1979.6219178082192,23.81924
1979.704109589041,30.78931
1979.7890410958903,28.641039
1979.8712328767124,24.81834
1979.9561643835616,16.286057
1980.0409836065573,9.965297
1980.122950819672,5.986604
1980.204918032787,4.441889
1980.2868852459017,4.287122
1980.3715846994535,6.005726
1980.4535519125684,11.4562845
1980.5382513661202,20.913872
1980.622950819672,21.560719
1980.704918032787,26.386353
1980.7896174863388,29.876022
1980.8715846994535,25.614084
1980.9562841530055,20.513681
1981.041095890411,13.0450735
1981.1205479452055,7.548606
1981.2027397260274,5.1765943
1981.2849315068493,4.1898627
1981.3698630136987,4.526226
1981.4520547945206,6.8540015
1981.5369863013698,14.621018
1981.6219178082192,19.852987
1981.704109589041,27.346096
1981.7890410958903,30.970768
1981.8712328767124,26.556347
1981.9561643835616,18.636501
1982.041095890411,11.414362
1982.1205479452055,6.745318
1982.2027397260274,4.4555783
1982.2849315068493,3.7015774
1982.3698630136987,4.8585076
1982.4520547945206,9.056425
1982.5369863013698,14.788091
1982.6219178082192,23.21541
1982.704109589041,30.399487
1982.7890410958903,30.648216
1982.8712328767124,25.841585
1982.9561643835616,18.135315
1983.041095890411,12.529107
1983.1205479452055,7.473006
1983.2027397260274,4.924934
1983.2849315068493,3.7786121
1983.3698630136987,4.448032
1983.4520547945206,8.703201
1983.5369863013698,14.377174
1983.6219178082192,24.355259
1983.704109589041,32.24304
1983.7890410958903,30.675817
1983.8712328767124,30.31878
1983.9561643835616,26.374323
1984.0409836065573,18.238924
1984.122950819672,12.591537
1984.204918032787,8.930793
1984.2868852459017,5.011187
1984.3715846994535,4.5290127
1984.4535519125684,6.30692
1984.5382513661202,14.342067
1984.622950819672,24.696503
1984.704918032787,31.690918
1984.7896174863388,34.912014
1984.8715846994535,30.03393
1984.9562841530055,20.987045
1985.041095890411,13.834658
1985.1205479452055,8.854888
1985.2027397260274,5.8623238
1985.2849315068493,4.1985655
1985.3698630136987,5.284403
1985.4520547945206,11.178807
1985.5369863013698,15.853134
1985.6219178082192,28.348114
1985.704109589041,32.722332
1985.7890410958903,31.328808
1985.8712328767124,26.702488
1985.9561643835616,20.04224
1986.041095890411,12.223159
1986.1205479452055,7.25673
1986.2027397260274,4.628933
1986.2849315068493,3.3794727
1986.3698630136987,4.739322
1986.4520547945206,7.102069
1986.5369863013698,10.493816
1986.6219178082192,15.378592
1986.704109589041,24.936457
1986.7890410958903,28.962229
1986.8712328767124,29.302456
1986.9561643835616,20.289919
1987.041095890411,13.20725
1987.1205479452055,7.875123
1987.2027397260274,4.8495417
1987.2849315068493,3.4584916
1987.3698630136987,3.6879823
1987.4520547945206,10.333021
1987.5369863013698,19.60266
1987.6219178082192,22.832714
1987.704109589041,30.23813
1987.7890410958903,27.95151
